No	Date	Strain	Trt	Trt_char	Time	Time_Char	Rep	OD600	OD600_corr	OD480	Dox_conc	OD600_avg	OD600_sd	OD600_se	Dox_avg	Dox_sd	Dox_se	Dox_avg_corr
90	7/28/20	neg_control	250	High	12	A	2	94	-2	357	221.2645	0.33	4.04	2.33	252.26	34.33651644	19.82419701	250.73
91	7/29/20	neg_control	0	Contol	12	A	3	44	1	68	1.5378							
92	7/29/20	neg_control	10	Low	12	A	3	44	0	93	9.9853							
93	7/29/20	neg_control	100	Medium	12	A	3	52	-1	280	136.603							
94	7/29/20	neg_control	250	High	12	A	3	101	5	377	246.3585							
95	7/30/20	neg_control	0	Contol	12	A	4	44	1	68	1.5378							
96	7/30/20	neg_control	10	Low	12	A	4	44	0	95	10.7475							
97	7/30/20	neg_control	100	Medium	12	A	4	55	2	300	156.769							
98	7/30/20	neg_control	250	High	12	A	4	94	-2	409	289.1713							
99	7/28/20	neg_control	0	Contol	24	B	2	44	0	70	2.14	-0.33	0.58	0.33	1.74	0.687970581	0.3972	0.00
100	7/28/20	neg_control	10	Low	24	B	2	44	-2	88	8.1358	0.00	3.46	2.00	10.52	2.077838508	1.199640622	8.78
101	7/28/20	neg_control	100	Medium	24	B	2	54	-1	280	136.603	0.00	2.65	1.53	142.89	5.997578602	3.46270362	141.15
102	7/28/20	neg_control	250	High	24	B	2	118	6	357	221.2645	0.00	5.57	3.21	222.37	31.23421862	18.03308453	220.62
103	7/29/20	neg_control	0	Contol	24	B	3	43	-1	70	2.14							
104	7/29/20	neg_control	10	Low	24	B	3	50	4	98	11.9148							
105	7/29/20	neg_control	100	Medium	24	B	3	53	-2	292	148.549							
106	7/29/20	neg_control	250	High	24	B	3	107	-5	383	254.1363							
107	7/30/20	neg_control	0	Contol	24	B	4	44	0	66	0.9484							
108	7/30/20	neg_control	10	Low	24	B	4	44	-2	97	11.5225							
109	7/30/20	neg_control	100	Medium	24	B	4	58	3	287	143.5155							
110	7/30/20	neg_control	250	High	24	B	4	111	-1	332	191.697							
