	taxa	sample	mean	se	V1	V2	V3	V4	Time	TP
59	log_EC_rel_mean	C1-G2-T2-TP3	1.55336375	0.67551528	C1	G2	T2	TP3	27	3
60	log_KP_rel_mean	C1-G2-T2-TP3	3.10E+00	0.773522291	C1	G2	T2	TP3	27	3
61	log_CI_rel_mean	C1-G2-T2-TP6	1.63E-02	0.002561696	C1	G2	T2	TP6	30	6
62	log_Lac_rel_mean	C1-G2-T2-TP6	0.016340313	0.002561696	C1	G2	T2	TP6	30	6
63	log_EF_rel_mean	C1-G2-T2-TP6	5.032536919	0.160157567	C1	G2	T2	TP6	30	6
64	log_EC_rel_mean	C1-G2-T2-TP6	3.152291889	0.522518925	C1	G2	T2	TP6	30	6
65	log_KP_rel_mean	C1-G2-T2-TP6	4.906158757	0.209776353	C1	G2	T2	TP6	30	6
66	log_CI_rel_mean	C1-G2-T2-TP12	4.87E-01	0.459235987	C1	G2	T2	TP12	36	12
67	log_Lac_rel_mean	C1-G2-T2-TP12	0.016891955	0.004044652	C1	G2	T2	TP12	36	12
68	log_EF_rel_mean	C1-G2-T2-TP12	5.27E+00	0.091659769	C1	G2	T2	TP12	36	12
69	log_EC_rel_mean	C1-G2-T2-TP12	3.691195557	0.473929838	C1	G2	T2	TP12	36	12
70	log_KP_rel_mean	C1-G2-T2-TP12	5.078777746	0.26771931	C1	G2	T2	TP12	36	12
71	log_CI_rel_mean	C1-G2-T2-TP24	7.55E-01	0.7269833	C1	G2	T2	TP24	48	24
72	log_Lac_rel_mean	C1-G2-T2-TP24	0.034883089	0.008024266	C1	G2	T2	TP24	48	24
73	log_EF_rel_mean	C1-G2-T2-TP24	4.926678304	0.215799772	C1	G2	T2	TP24	48	24
74	log_EC_rel_mean	C1-G2-T2-TP24	3.723649808	0.398569635	C1	G2	T2	TP24	48	24
75	log_KP_rel_mean	C1-G2-T2-TP24	5.20E+00	0.287041075	C1	G2	T2	TP24	48	24
76	log_CI_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1	0
77	log_Lac_rel_mean	C1-G2-T3-TP0	0.00E+00	0	C1	G2	T3	TP0	24.1	0
78	log_EF_rel_mean	C1-G2-T3-TP0	0.00E+00	0	C1	G2	T3	TP0	24.1	0
79	log_EC_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1	0
80	log_KP_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1	0
81	log_CI_rel_mean	C1-G2-T3-TP3	0.029317573	0.022479081	C1	G2	T3	TP3	27	3
82	log_Lac_rel_mean	C1-G2-T3-TP3	0.008836466	0.002361456	C1	G2	T3	TP3	27	3
83	log_EF_rel_mean	C1-G2-T3-TP3	0.755047798	0.462848549	C1	G2	T3	TP3	27	3
84	log_EC_rel_mean	C1-G2-T3-TP3	1.649057724	0.405306391	C1	G2	T3	TP3	27	3
85	log_KP_rel_mean	C1-G2-T3-TP3	3.443337397	0.493061563	C1	G2	T3	TP3	27	3
86	log_CI_rel_mean	C1-G2-T3-TP6	0.027636299	0.007887692	C1	G2	T3	TP6	30	6
87	log_Lac_rel_mean	C1-G2-T3-TP6	0.027636299	0.007887692	C1	G2	T3	TP6	30	6
88	log_EF_rel_mean	C1-G2-T3-TP6	3.528242028	0.584759232	C1	G2	T3	TP6	30	6
89	log_EC_rel_mean	C1-G2-T3-TP6	3.488813872	0.268632102	C1	G2	T3	TP6	30	6
90	log_KP_rel_mean	C1-G2-T3-TP6	5.505998546	0.198726386	C1	G2	T3	TP6	30	6
91	log_CI_rel_mean	C1-G2-T3-TP12	2.97E-02	0.015337395	C1	G2	T3	TP12	36	12
92	log_Lac_rel_mean	C1-G2-T3-TP12	2.97E-02	0.015337395	C1	G2	T3	TP12	36	12
93	log_EF_rel_mean	C1-G2-T3-TP12	4.59E+00	0.364540498	C1	G2	T3	TP12	36	12
94	log_EC_rel_mean	C1-G2-T3-TP12	3.562858167	0.055207161	C1	G2	T3	TP12	36	12
95	log_KP_rel_mean	C1-G2-T3-TP12	5.405935798	0.307473998	C1	G2	T3	TP12	36	12
96	log_CI_rel_mean	C1-G2-T3-TP24	0.049270334	0.006317565	C1	G2	T3	TP24	48	24
97	log_Lac_rel_mean	C1-G2-T3-TP24	0.049270334	0.006317565	C1	G2	T3	TP24	48	24
98	log_EF_rel_mean	C1-G2-T3-TP24	4.51E+00	0.210845586	C1	G2	T3	TP24	48	24
99	log_EC_rel_mean	C1-G2-T3-TP24	3.70498603	0.231632585	C1	G2	T3	TP24	48	24
100	log_KP_rel_mean	C1-G2-T3-TP24	5.580908151	0.240701298	C1	G2	T3	TP24	48	24
101	log_CI_rel_mean	C1-G2-T4-TP0	0	0	C1	G2	T4	TP0	24.1	0
102	log_Lac_rel_mean	C1-G2-T4-TP0	0	0	C1	G2	T4	TP0	24.1	0
103	log_EF_rel_mean	C1-G2-T4-TP0	0	0	C1	G2	T4	TP0	24.1	0
104	log_EC_rel_mean	C1-G2-T4-TP0	0	0	C1	G2	T4	TP0	24.1	0
105	log_KP_rel_mean	C1-G2-T4-TP0	0.00E+00	0	C1	G2	T4	TP0	24.1	0
106	log_CI_rel_mean	C1-G2-T4-TP3	0.012223237	0.002583856	C1	G2	T4	TP3	27	3
107	log_Lac_rel_mean	C1-G2-T4-TP3	0.007768737	0.003855599	C1	G2	T4	TP3	27	3
108	log_EF_rel_mean	C1-G2-T4-TP3	2.51E-01	0.164890117	C1	G2	T4	TP3	27	3
109	log_EC_rel_mean	C1-G2-T4-TP3	1.31E+00	0.461751126	C1	G2	T4	TP3	27	3
110	log_KP_rel_mean	C1-G2-T4-TP3	3.10E+00	0.422266462	C1	G2	T4	TP3	27	3
111	log_CI_rel_mean	C1-G2-T4-TP6	2.65E-02	0.01028718	C1	G2	T4	TP6	30	6
112	log_Lac_rel_mean	C1-G2-T4-TP6	2.65E-02	0.01028718	C1	G2	T4	TP6	30	6
113	log_EF_rel_mean	C1-G2-T4-TP6	1.384853273	0.680680922	C1	G2	T4	TP6	30	6
114	log_EC_rel_mean	C1-G2-T4-TP6	3.40E+00	0.408136375	C1	G2	T4	TP6	30	6
115	log_KP_rel_mean	C1-G2-T4-TP6	5.68E+00	0.146855655	C1	G2	T4	TP6	30	6
116	log_CI_rel_mean	C1-G2-T4-TP12	3.22E-02	0.008155631	C1	G2	T4	TP12	36	12
117	log_Lac_rel_mean	C1-G2-T4-TP12	0.032183151	0.008155631	C1	G2	T4	TP12	36	12
118	log_EF_rel_mean	C1-G2-T4-TP12	3.107273718	1.052362456	C1	G2	T4	TP12	36	12
119	log_EC_rel_mean	C1-G2-T4-TP12	3.68748327	0.311950277	C1	G2	T4	TP12	36	12
120	log_KP_rel_mean	C1-G2-T4-TP12	5.77614802	0.154805046	C1	G2	T4	TP12	36	12
121	log_CI_rel_mean	C1-G2-T4-TP24	0.121522112	0.047401833	C1	G2	T4	TP24	48	24
122	log_Lac_rel_mean	C1-G2-T4-TP24	0.121522112	0.047401833	C1	G2	T4	TP24	48	24
123	log_EF_rel_mean	C1-G2-T4-TP24	3.956718765	0.310832673	C1	G2	T4	TP24	48	24
124	log_EC_rel_mean	C1-G2-T4-TP24	3.609629636	0.21766307	C1	G2	T4	TP24	48	24
125	log_KP_rel_mean	C1-G2-T4-TP24	5.82E+00	0.160736638	C1	G2	T4	TP24	48	24
126	log_CI_rel_mean	C1-G3-T1-TP0	0	0	C1	G3	T1	TP0	48.1	0
127	log_Lac_rel_mean	C1-G3-T1-TP0	0	0	C1	G3	T1	TP0	48.1	0
128	log_EF_rel_mean	C1-G3-T1-TP0	0	0	C1	G3	T1	TP0	48.1	0
129	log_EC_rel_mean	C1-G3-T1-TP0	0	0	C1	G3	T1	TP0	48.1	0
130	log_KP_rel_mean	C1-G3-T1-TP0	0	0	C1	G3	T1	TP0	48.1	0
131	log_CI_rel_mean	C1-G3-T1-TP3	0.220171451	NA	C1	G3	T1	TP3	51	3
132	log_Lac_rel_mean	C1-G3-T1-TP3	0.010209802	NA	C1	G3	T1	TP3	51	3
133	log_EF_rel_mean	C1-G3-T1-TP3	3.159384592	NA	C1	G3	T1	TP3	51	3
134	log_EC_rel_mean	C1-G3-T1-TP3	7.65E-01	NA	C1	G3	T1	TP3	51	3
135	log_KP_rel_mean	C1-G3-T1-TP3	3.93E+00	NA	C1	G3	T1	TP3	51	3
136	log_CI_rel_mean	C1-G3-T1-TP6	0.121904976	0.102888136	C1	G3	T1	TP6	54	6
137	log_Lac_rel_mean	C1-G3-T1-TP6	0.021793121	0.003255705	C1	G3	T1	TP6	54	6
138	log_EF_rel_mean	C1-G3-T1-TP6	5.076853503	0.08173912	C1	G3	T1	TP6	54	6
139	log_EC_rel_mean	C1-G3-T1-TP6	2.32E+00	0.845913012	C1	G3	T1	TP6	54	6
140	log_KP_rel_mean	C1-G3-T1-TP6	4.968660113	0.120719924	C1	G3	T1	TP6	54	6
141	log_CI_rel_mean	C1-G3-T1-TP12	8.45E-01	0.818885379	C1	G3	T1	TP12	60	12
142	log_Lac_rel_mean	C1-G3-T1-TP12	0.026848624	0.002439424	C1	G3	T1	TP12	60	12
143	log_EF_rel_mean	C1-G3-T1-TP12	5.303500326	0.098750453	C1	G3	T1	TP12	60	12
144	log_EC_rel_mean	C1-G3-T1-TP12	3.21E+00	0.672018749	C1	G3	T1	TP12	60	12
145	log_KP_rel_mean	C1-G3-T1-TP12	5.165949665	0.132807262	C1	G3	T1	TP12	60	12
146	log_CI_rel_mean	C1-G3-T1-TP24	0.639684264	0.599452687	C1	G3	T1	TP24	72	24
147	log_Lac_rel_mean	C1-G3-T1-TP24	0.04585408	0.006078676	C1	G3	T1	TP24	72	24
148	log_EF_rel_mean	C1-G3-T1-TP24	5.00E+00	0.149185206	C1	G3	T1	TP24	72	24
149	log_EC_rel_mean	C1-G3-T1-TP24	3.38E+00	0.469598555	C1	G3	T1	TP24	72	24
150	log_KP_rel_mean	C1-G3-T1-TP24	5.243173572	0.181894563	C1	G3	T1	TP24	72	24
151	log_CI_rel_mean	C1-G3-T2-TP0	0	0	C1	G3	T2	TP0	48.1	0
152	log_Lac_rel_mean	C1-G3-T2-TP0	0	0	C1	G3	T2	TP0	48.1	0
153	log_EF_rel_mean	C1-G3-T2-TP0	0	0	C1	G3	T2	TP0	48.1	0
154	log_EC_rel_mean	C1-G3-T2-TP0	0	0	C1	G3	T2	TP0	48.1	0
155	log_KP_rel_mean	C1-G3-T2-TP0	0	0	C1	G3	T2	TP0	48.1	0
156	log_CI_rel_mean	C1-G3-T2-TP3	0.009114486	NA	C1	G3	T2	TP3	51	3
157	log_Lac_rel_mean	C1-G3-T2-TP3	9.11E-03	NA	C1	G3	T2	TP3	51	3
158	log_EF_rel_mean	C1-G3-T2-TP3	3.07E+00	NA	C1	G3	T2	TP3	51	3
159	log_EC_rel_mean	C1-G3-T2-TP3	0.517337412	NA	C1	G3	T2	TP3	51	3
160	log_KP_rel_mean	C1-G3-T2-TP3	3.983806009	NA	C1	G3	T2	TP3	51	3
161	log_CI_rel_mean	C1-G3-T2-TP6	7.18E-01	NA	C1	G3	T2	TP6	54	6
162	log_Lac_rel_mean	C1-G3-T2-TP6	2.25E-02	0.000591519	C1	G3	T2	TP6	54	6
163	log_EF_rel_mean	C1-G3-T2-TP6	5.209980105	0.157429004	C1	G3	T2	TP6	54	6
164	log_EC_rel_mean	C1-G3-T2-TP6	2.364533787	0.888848136	C1	G3	T2	TP6	54	6
165	log_KP_rel_mean	C1-G3-T2-TP6	4.85E+00	0.112098197	C1	G3	T2	TP6	54	6
166	log_CI_rel_mean	C1-G3-T2-TP12	2.04E+00	NA	C1	G3	T2	TP12	60	12
167	log_Lac_rel_mean	C1-G3-T2-TP12	2.74E-02	0.006872619	C1	G3	T2	TP12	60	12
168	log_EF_rel_mean	C1-G3-T2-TP12	5.302571028	0.122896469	C1	G3	T2	TP12	60	12
169	log_EC_rel_mean	C1-G3-T2-TP12	3.283337014	0.664531738	C1	G3	T2	TP12	60	12
170	log_KP_rel_mean	C1-G3-T2-TP12	5.087368946	0.215431629	C1	G3	T2	TP12	60	12
171	log_CI_rel_mean	C1-G3-T2-TP24	2.0556309	NA	C1	G3	T2	TP24	72	24
172	log_Lac_rel_mean	C1-G3-T2-TP24	0.066493185	0.035625681	C1	G3	T2	TP24	72	24
173	log_EF_rel_mean	C1-G3-T2-TP24	4.937812193	0.357295584	C1	G3	T2	TP24	72	24
174	log_EC_rel_mean	C1-G3-T2-TP24	3.483597553	0.497309916	C1	G3	T2	TP24	72	24
175	log_KP_rel_mean	C1-G3-T2-TP24	5.165530836	0.275084781	C1	G3	T2	TP24	72	24
176	log_CI_rel_mean	C1-G3-T3-TP0	0	0	C1	G3	T3	TP0	48.1	0
177	log_Lac_rel_mean	C1-G3-T3-TP0	0	0	C1	G3	T3	TP0	48.1	0
178	log_EF_rel_mean	C1-G3-T3-TP0	0	0	C1	G3	T3	TP0	48.1	0
179	log_EC_rel_mean	C1-G3-T3-TP0	0	0	C1	G3	T3	TP0	48.1	0
180	log_KP_rel_mean	C1-G3-T3-TP0	0	0	C1	G3	T3	TP0	48.1	0
181	log_CI_rel_mean	C1-G3-T3-TP3	0.007951026	NA	C1	G3	T3	TP3	51	3
182	log_Lac_rel_mean	C1-G3-T3-TP3	0.007951026	NA	C1	G3	T3	TP3	51	3
183	log_EF_rel_mean	C1-G3-T3-TP3	2.864647985	NA	C1	G3	T3	TP3	51	3
184	log_EC_rel_mean	C1-G3-T3-TP3	1.184683167	NA	C1	G3	T3	TP3	51	3
185	log_KP_rel_mean	C1-G3-T3-TP3	4.21E+00	NA	C1	G3	T3	TP3	51	3
186	log_CI_rel_mean	C1-G3-T3-TP6	3.38E-02	NA	C1	G3	T3	TP6	54	6
187	log_Lac_rel_mean	C1-G3-T3-TP6	0.024991015	0.006467568	C1	G3	T3	TP6	54	6
188	log_EF_rel_mean	C1-G3-T3-TP6	4.998137902	0.139148112	C1	G3	T3	TP6	54	6
189	log_EC_rel_mean	C1-G3-T3-TP6	2.253090679	0.502040727	C1	G3	T3	TP6	54	6
190	log_KP_rel_mean	C1-G3-T3-TP6	5.100358779	0.200289032	C1	G3	T3	TP6	54	6
191	log_CI_rel_mean	C1-G3-T3-TP12	3.43E-02	NA	C1	G3	T3	TP12	60	12
192	log_Lac_rel_mean	C1-G3-T3-TP12	2.74E-02	0.004825884	C1	G3	T3	TP12	60	12
193	log_EF_rel_mean	C1-G3-T3-TP12	5.123973294	0.170710283	C1	G3	T3	TP12	60	12
194	log_EC_rel_mean	C1-G3-T3-TP12	3.264080406	0.498054683	C1	G3	T3	TP12	60	12
195	log_KP_rel_mean	C1-G3-T3-TP12	5.314900532	0.195190099	C1	G3	T3	TP12	60	12
196	log_CI_rel_mean	C1-G3-T3-TP24	0.661884155	NA	C1	G3	T3	TP24	72	24
197	log_Lac_rel_mean	C1-G3-T3-TP24	4.40E-02	0.007730779	C1	G3	T3	TP24	72	24
198	log_EF_rel_mean	C1-G3-T3-TP24	4.853743919	0.203968095	C1	G3	T3	TP24	72	24
199	log_EC_rel_mean	C1-G3-T3-TP24	3.262723822	0.315618422	C1	G3	T3	TP24	72	24
