	taxa	sample	mean	se	V1	V2	V3	V4	Time	TP
259	log_EC_rel_mean	C2-G2-T1-TP3	0.547729797	0.54487048	C2	G2	T1	TP3	27	3
260	log_KP_rel_mean	C2-G2-T1-TP3	2.83282652	1.420771331	C2	G2	T1	TP3	27	3
261	log_CI_rel_mean	C2-G2-T1-TP6	0.400102695	0.124753083	C2	G2	T1	TP6	30	6
262	log_Lac_rel_mean	C2-G2-T1-TP6	0.069675344	0.042256255	C2	G2	T1	TP6	30	6
263	log_EF_rel_mean	C2-G2-T1-TP6	0	0	C2	G2	T1	TP6	30	6
264	log_EC_rel_mean	C2-G2-T1-TP6	3.683256845	0.516885722	C2	G2	T1	TP6	30	6
265	log_KP_rel_mean	C2-G2-T1-TP6	5.477470954	0.113454344	C2	G2	T1	TP6	30	6
266	log_CI_rel_mean	C2-G2-T1-TP12	1.089040695	0.825394866	C2	G2	T1	TP12	36	12
267	log_Lac_rel_mean	C2-G2-T1-TP12	0.02855414	0.006083216	C2	G2	T1	TP12	36	12
268	log_EF_rel_mean	C2-G2-T1-TP12	0	0	C2	G2	T1	TP12	36	12
269	log_EC_rel_mean	C2-G2-T1-TP12	4.054387584	0.494669243	C2	G2	T1	TP12	36	12
270	log_KP_rel_mean	C2-G2-T1-TP12	5.627723902	0.157774628	C2	G2	T1	TP12	36	12
271	log_CI_rel_mean	C2-G2-T1-TP24	1.009116756	0.798856356	C2	G2	T1	TP24	48	24
272	log_Lac_rel_mean	C2-G2-T1-TP24	0.055217198	0.020513052	C2	G2	T1	TP24	48	24
273	log_EF_rel_mean	C2-G2-T1-TP24	0	0	C2	G2	T1	TP24	48	24
274	log_EC_rel_mean	C2-G2-T1-TP24	3.886604822	0.426465711	C2	G2	T1	TP24	48	24
275	log_KP_rel_mean	C2-G2-T1-TP24	5.657369931	0.186367323	C2	G2	T1	TP24	48	24
276	log_CI_rel_mean	C2-G2-T2-TP0	0	0	C2	G2	T2	TP0	24.1	0
277	log_Lac_rel_mean	C2-G2-T2-TP0	0	0	C2	G2	T2	TP0	24.1	0
278	log_EF_rel_mean	C2-G2-T2-TP0	0	0	C2	G2	T2	TP0	24.1	0
279	log_EC_rel_mean	C2-G2-T2-TP0	0	0	C2	G2	T2	TP0	24.1	0
280	log_KP_rel_mean	C2-G2-T2-TP0	0	0	C2	G2	T2	TP0	24.1	0
281	log_CI_rel_mean	C2-G2-T2-TP3	0.007389543	0.001334288	C2	G2	T2	TP3	27	3
282	log_Lac_rel_mean	C2-G2-T2-TP3	0.00436269	0.001928799	C2	G2	T2	TP3	27	3
283	log_EF_rel_mean	C2-G2-T2-TP3	0	0	C2	G2	T2	TP3	27	3
284	log_EC_rel_mean	C2-G2-T2-TP3	0.603671503	0.408268737	C2	G2	T2	TP3	27	3
285	log_KP_rel_mean	C2-G2-T2-TP3	3.454216011	0.797007775	C2	G2	T2	TP3	27	3
286	log_CI_rel_mean	C2-G2-T2-TP6	0.126991695	0.052013393	C2	G2	T2	TP6	30	6
287	log_Lac_rel_mean	C2-G2-T2-TP6	0.024927517	0.002105956	C2	G2	T2	TP6	30	6
288	log_EF_rel_mean	C2-G2-T2-TP6	0	0	C2	G2	T2	TP6	30	6
289	log_EC_rel_mean	C2-G2-T2-TP6	3.711349496	0.551579062	C2	G2	T2	TP6	30	6
290	log_KP_rel_mean	C2-G2-T2-TP6	5.466274476	0.104505918	C2	G2	T2	TP6	30	6
291	log_CI_rel_mean	C2-G2-T2-TP12	0.644388289	0.382113296	C2	G2	T2	TP12	36	12
292	log_Lac_rel_mean	C2-G2-T2-TP12	0.032192607	0.008218905	C2	G2	T2	TP12	36	12
293	log_EF_rel_mean	C2-G2-T2-TP12	0	0	C2	G2	T2	TP12	36	12
294	log_EC_rel_mean	C2-G2-T2-TP12	3.952317737	0.559819828	C2	G2	T2	TP12	36	12
295	log_KP_rel_mean	C2-G2-T2-TP12	5.645576709	0.157008255	C2	G2	T2	TP12	36	12
296	log_CI_rel_mean	C2-G2-T2-TP24	1.223059825	1.150747456	C2	G2	T2	TP24	48	24
297	log_Lac_rel_mean	C2-G2-T2-TP24	0.11089096	0.039374726	C2	G2	T2	TP24	48	24
298	log_EF_rel_mean	C2-G2-T2-TP24	0	0	C2	G2	T2	TP24	48	24
299	log_EC_rel_mean	C2-G2-T2-TP24	3.995962634	0.414347736	C2	G2	T2	TP24	48	24
300	log_KP_rel_mean	C2-G2-T2-TP24	5.636794999	0.155657499	C2	G2	T2	TP24	48	24
301	log_CI_rel_mean	C2-G2-T3-TP0	0	0	C2	G2	T3	TP0	24.1	0
302	log_Lac_rel_mean	C2-G2-T3-TP0	0	0	C2	G2	T3	TP0	24.1	0
303	log_EF_rel_mean	C2-G2-T3-TP0	0	0	C2	G2	T3	TP0	24.1	0
304	log_EC_rel_mean	C2-G2-T3-TP0	0	0	C2	G2	T3	TP0	24.1	0
305	log_KP_rel_mean	C2-G2-T3-TP0	0	0	C2	G2	T3	TP0	24.1	0
306	log_CI_rel_mean	C2-G2-T3-TP3	0.005675299	0.001989213	C2	G2	T3	TP3	27	3
307	log_Lac_rel_mean	C2-G2-T3-TP3	0.005675299	0.001989213	C2	G2	T3	TP3	27	3
308	log_EF_rel_mean	C2-G2-T3-TP3	0	0	C2	G2	T3	TP3	27	3
309	log_EC_rel_mean	C2-G2-T3-TP3	1.578850208	0.514490978	C2	G2	T3	TP3	27	3
310	log_KP_rel_mean	C2-G2-T3-TP3	3.374828345	0.535873383	C2	G2	T3	TP3	27	3
311	log_CI_rel_mean	C2-G2-T3-TP6	0.029463641	0.006871472	C2	G2	T3	TP6	30	6
312	log_Lac_rel_mean	C2-G2-T3-TP6	0.029463641	0.006871472	C2	G2	T3	TP6	30	6
313	log_EF_rel_mean	C2-G2-T3-TP6	0	0	C2	G2	T3	TP6	30	6
314	log_EC_rel_mean	C2-G2-T3-TP6	3.556372823	0.215803886	C2	G2	T3	TP6	30	6
315	log_KP_rel_mean	C2-G2-T3-TP6	5.665876551	0.111875134	C2	G2	T3	TP6	30	6
316	log_CI_rel_mean	C2-G2-T3-TP12	0.075246405	0.049740453	C2	G2	T3	TP12	36	12
317	log_Lac_rel_mean	C2-G2-T3-TP12	0.023106796	0.002671059	C2	G2	T3	TP12	36	12
318	log_EF_rel_mean	C2-G2-T3-TP12	0	0	C2	G2	T3	TP12	36	12
319	log_EC_rel_mean	C2-G2-T3-TP12	3.928414188	0.227431663	C2	G2	T3	TP12	36	12
320	log_KP_rel_mean	C2-G2-T3-TP12	5.792838859	0.118061487	C2	G2	T3	TP12	36	12
321	log_CI_rel_mean	C2-G2-T3-TP24	0.044300223	0.009539195	C2	G2	T3	TP24	48	24
322	log_Lac_rel_mean	C2-G2-T3-TP24	0.044300223	0.009539195	C2	G2	T3	TP24	48	24
323	log_EF_rel_mean	C2-G2-T3-TP24	0	0	C2	G2	T3	TP24	48	24
324	log_EC_rel_mean	C2-G2-T3-TP24	3.703448337	0.193123643	C2	G2	T3	TP24	48	24
325	log_KP_rel_mean	C2-G2-T3-TP24	5.775722163	0.122519958	C2	G2	T3	TP24	48	24
326	log_CI_rel_mean	C2-G2-T4-TP0	0	0	C2	G2	T4	TP0	24.1	0
327	log_Lac_rel_mean	C2-G2-T4-TP0	0	0	C2	G2	T4	TP0	24.1	0
328	log_EF_rel_mean	C2-G2-T4-TP0	0	0	C2	G2	T4	TP0	24.1	0
329	log_EC_rel_mean	C2-G2-T4-TP0	0	0	C2	G2	T4	TP0	24.1	0
330	log_KP_rel_mean	C2-G2-T4-TP0	0	0	C2	G2	T4	TP0	24.1	0
331	log_CI_rel_mean	C2-G2-T4-TP3	0.033471026	0.027066869	C2	G2	T4	TP3	27	3
332	log_Lac_rel_mean	C2-G2-T4-TP3	0.004639747	0.002275782	C2	G2	T4	TP3	27	3
333	log_EF_rel_mean	C2-G2-T4-TP3	0	0	C2	G2	T4	TP3	27	3
334	log_EC_rel_mean	C2-G2-T4-TP3	1.032428639	0.520215303	C2	G2	T4	TP3	27	3
335	log_KP_rel_mean	C2-G2-T4-TP3	3.104840174	0.568776845	C2	G2	T4	TP3	27	3
336	log_CI_rel_mean	C2-G2-T4-TP6	0.031095957	0.009673295	C2	G2	T4	TP6	30	6
337	log_Lac_rel_mean	C2-G2-T4-TP6	0.047359326	0.011197704	C2	G2	T4	TP6	30	6
338	log_EF_rel_mean	C2-G2-T4-TP6	0	0	C2	G2	T4	TP6	30	6
339	log_EC_rel_mean	C2-G2-T4-TP6	2.505033839	0.471774187	C2	G2	T4	TP6	30	6
340	log_KP_rel_mean	C2-G2-T4-TP6	5.745233054	0.121462828	C2	G2	T4	TP6	30	6
341	log_CI_rel_mean	C2-G2-T4-TP12	0.096127476	0.069714522	C2	G2	T4	TP12	36	12
342	log_Lac_rel_mean	C2-G2-T4-TP12	0.02639157	0.004230171	C2	G2	T4	TP12	36	12
343	log_EF_rel_mean	C2-G2-T4-TP12	0	0	C2	G2	T4	TP12	36	12
344	log_EC_rel_mean	C2-G2-T4-TP12	3.107381498	0.195406304	C2	G2	T4	TP12	36	12
345	log_KP_rel_mean	C2-G2-T4-TP12	5.861263514	0.09237541	C2	G2	T4	TP12	36	12
346	log_CI_rel_mean	C2-G2-T4-TP24	0.0439661	0.002429472	C2	G2	T4	TP24	48	24
347	log_Lac_rel_mean	C2-G2-T4-TP24	0.0439661	0.002429472	C2	G2	T4	TP24	48	24
348	log_EF_rel_mean	C2-G2-T4-TP24	0	0	C2	G2	T4	TP24	48	24
349	log_EC_rel_mean	C2-G2-T4-TP24	3.594606806	0.090625583	C2	G2	T4	TP24	48	24
350	log_KP_rel_mean	C2-G2-T4-TP24	5.76037706	0.132290917	C2	G2	T4	TP24	48	24
351	log_CI_rel_mean	C2-G3-T1-TP0	0	0	C2	G3	T1	TP0	48.1	0
352	log_Lac_rel_mean	C2-G3-T1-TP0	0	0	C2	G3	T1	TP0	48.1	0
353	log_EF_rel_mean	C2-G3-T1-TP0	0	0	C2	G3	T1	TP0	48.1	0
354	log_EC_rel_mean	C2-G3-T1-TP0	0	0	C2	G3	T1	TP0	48.1	0
355	log_KP_rel_mean	C2-G3-T1-TP0	0	0	C2	G3	T1	TP0	48.1	0
356	log_CI_rel_mean	C2-G3-T1-TP6	0.360965803	0.306177754	C2	G3	T1	TP6	54	6
357	log_Lac_rel_mean	C2-G3-T1-TP6	0.025245241	0.005220148	C2	G3	T1	TP6	54	6
358	log_EF_rel_mean	C2-G3-T1-TP6	0	0	C2	G3	T1	TP6	54	6
359	log_EC_rel_mean	C2-G3-T1-TP6	2.860206969	0.820717511	C2	G3	T1	TP6	54	6
360	log_KP_rel_mean	C2-G3-T1-TP6	5.612455745	0.105436087	C2	G3	T1	TP6	54	6
361	log_CI_rel_mean	C2-G3-T1-TP12	1.236979152	0.838965773	C2	G3	T1	TP12	60	12
362	log_Lac_rel_mean	C2-G3-T1-TP12	0.037708796	0.00693967	C2	G3	T1	TP12	60	12
363	log_EF_rel_mean	C2-G3-T1-TP12	0	0	C2	G3	T1	TP12	60	12
364	log_EC_rel_mean	C2-G3-T1-TP12	3.48233153	0.640162439	C2	G3	T1	TP12	60	12
365	log_KP_rel_mean	C2-G3-T1-TP12	5.71822941	0.197618576	C2	G3	T1	TP12	60	12
366	log_CI_rel_mean	C2-G3-T1-TP24	1.111056079	0.696317313	C2	G3	T1	TP24	72	24
367	log_Lac_rel_mean	C2-G3-T1-TP24	0.053126852	0.011546513	C2	G3	T1	TP24	72	24
368	log_EF_rel_mean	C2-G3-T1-TP24	0	0	C2	G3	T1	TP24	72	24
369	log_EC_rel_mean	C2-G3-T1-TP24	3.686716875	0.404664289	C2	G3	T1	TP24	72	24
370	log_KP_rel_mean	C2-G3-T1-TP24	5.666454511	0.179363698	C2	G3	T1	TP24	72	24
371	log_CI_rel_mean	C2-G3-T2-TP0	0	0	C2	G3	T2	TP0	48.1	0
372	log_Lac_rel_mean	C2-G3-T2-TP0	0	0	C2	G3	T2	TP0	48.1	0
373	log_EF_rel_mean	C2-G3-T2-TP0	0	0	C2	G3	T2	TP0	48.1	0
374	log_EC_rel_mean	C2-G3-T2-TP0	0	0	C2	G3	T2	TP0	48.1	0
375	log_KP_rel_mean	C2-G3-T2-TP0	0	0	C2	G3	T2	TP0	48.1	0
376	log_CI_rel_mean	C2-G3-T2-TP6	0.349591248	0.318917768	C2	G3	T2	TP6	54	6
377	log_Lac_rel_mean	C2-G3-T2-TP6	0.028831296	0.001947182	C2	G3	T2	TP6	54	6
378	log_EF_rel_mean	C2-G3-T2-TP6	0	0	C2	G3	T2	TP6	54	6
379	log_EC_rel_mean	C2-G3-T2-TP6	2.918196397	0.86559749	C2	G3	T2	TP6	54	6
380	log_KP_rel_mean	C2-G3-T2-TP6	5.623022624	0.102417327	C2	G3	T2	TP6	54	6
381	log_CI_rel_mean	C2-G3-T2-TP12	1.191343698	1.162512687	C2	G3	T2	TP12	60	12
382	log_Lac_rel_mean	C2-G3-T2-TP12	0.04597969	0.017225386	C2	G3	T2	TP12	60	12
383	log_EF_rel_mean	C2-G3-T2-TP12	0	0	C2	G3	T2	TP12	60	12
384	log_EC_rel_mean	C2-G3-T2-TP12	3.553092867	0.616015341	C2	G3	T2	TP12	60	12
385	log_KP_rel_mean	C2-G3-T2-TP12	5.703328026	0.178079581	C2	G3	T2	TP12	60	12
386	log_CI_rel_mean	C2-G3-T2-TP24	0.956613802	0.899659034	C2	G3	T2	TP24	72	24
387	log_Lac_rel_mean	C2-G3-T2-TP24	0.062201743	0.012430845	C2	G3	T2	TP24	72	24
388	log_EF_rel_mean	C2-G3-T2-TP24	0	0	C2	G3	T2	TP24	72	24
389	log_EC_rel_mean	C2-G3-T2-TP24	3.74048018	0.410396402	C2	G3	T2	TP24	72	24
390	log_KP_rel_mean	C2-G3-T2-TP24	5.691079645	0.162905066	C2	G3	T2	TP24	72	24
391	log_CI_rel_mean	C2-G3-T3-TP0	0	0	C2	G3	T3	TP0	48.1	0
392	log_Lac_rel_mean	C2-G3-T3-TP0	0	0	C2	G3	T3	TP0	48.1	0
393	log_EF_rel_mean	C2-G3-T3-TP0	0	0	C2	G3	T3	TP0	48.1	0
394	log_EC_rel_mean	C2-G3-T3-TP0	0	0	C2	G3	T3	TP0	48.1	0
395	log_KP_rel_mean	C2-G3-T3-TP0	0	0	C2	G3	T3	TP0	48.1	0
396	log_CI_rel_mean	C2-G3-T3-TP6	0.052008423	NA	C2	G3	T3	TP6	54	6
397	log_Lac_rel_mean	C2-G3-T3-TP6	0.050301963	0.011486778	C2	G3	T3	TP6	54	6
398	log_EF_rel_mean	C2-G3-T3-TP6	0	0	C2	G3	T3	TP6	54	6
399	log_EC_rel_mean	C2-G3-T3-TP6	2.687049489	0.537229961	C2	G3	T3	TP6	54	6
400	log_KP_rel_mean	C2-G3-T3-TP6	5.677993134	0.083494345	C2	G3	T3	TP6	54	6
401	log_CI_rel_mean	C2-G3-T3-TP12	0.16229546	NA	C2	G3	T3	TP12	60	12
402	log_Lac_rel_mean	C2-G3-T3-TP12	0.025551335	0.001308623	C2	G3	T3	TP12	60	12
403	log_EF_rel_mean	C2-G3-T3-TP12	0	0	C2	G3	T3	TP12	60	12
404	log_EC_rel_mean	C2-G3-T3-TP12	3.197336797	0.543601655	C2	G3	T3	TP12	60	12
405	log_KP_rel_mean	C2-G3-T3-TP12	5.754420378	0.184023175	C2	G3	T3	TP12	60	12
406	log_CI_rel_mean	C2-G3-T3-TP24	1.636891562	NA	C2	G3	T3	TP24	72	24
407	log_Lac_rel_mean	C2-G3-T3-TP24	0.039084456	0.004307847	C2	G3	T3	TP24	72	24
408	log_EF_rel_mean	C2-G3-T3-TP24	0	0	C2	G3	T3	TP24	72	24
409	log_EC_rel_mean	C2-G3-T3-TP24	3.52640665	0.25786532	C2	G3	T3	TP24	72	24
410	log_KP_rel_mean	C2-G3-T3-TP24	5.704617901	0.144985315	C2	G3	T3	TP24	72	24
411	log_CI_rel_mean	C2-G3-T4-TP0	0	0	C2	G3	T4	TP0	48.1	0
412	log_Lac_rel_mean	C2-G3-T4-TP0	0	0	C2	G3	T4	TP0	48.1	0
413	log_EF_rel_mean	C2-G3-T4-TP0	0	0	C2	G3	T4	TP0	48.1	0
414	log_EC_rel_mean	C2-G3-T4-TP0	0	0	C2	G3	T4	TP0	48.1	0
415	log_KP_rel_mean	C2-G3-T4-TP0	0	0	C2	G3	T4	TP0	48.1	0
416	log_CI_rel_mean	C2-G3-T4-TP6	0.025955387	0.000848101	C2	G3	T4	TP6	54	6
417	log_Lac_rel_mean	C2-G3-T4-TP6	0.030458639	0.004529794	C2	G3	T4	TP6	54	6
418	log_EF_rel_mean	C2-G3-T4-TP6	0	0	C2	G3	T4	TP6	54	6
419	log_EC_rel_mean	C2-G3-T4-TP6	2.404395799	0.296261862	C2	G3	T4	TP6	54	6
420	log_KP_rel_mean	C2-G3-T4-TP6	5.759301113	0.033149673	C2	G3	T4	TP6	54	6
421	log_CI_rel_mean	C2-G3-T4-TP12	0.034639272	0.003306152	C2	G3	T4	TP12	60	12
422	log_Lac_rel_mean	C2-G3-T4-TP12	0.038083168	0.003937508	C2	G3	T4	TP12	60	12
423	log_EF_rel_mean	C2-G3-T4-TP12	0	0	C2	G3	T4	TP12	60	12
424	log_EC_rel_mean	C2-G3-T4-TP12	3.228729071	0.287613633	C2	G3	T4	TP12	60	12
425	log_KP_rel_mean	C2-G3-T4-TP12	5.883890731	0.137128847	C2	G3	T4	TP12	60	12
426	log_CI_rel_mean	C2-G3-T4-TP24	0.143269369	0.049721145	C2	G3	T4	TP24	72	24
427	log_Lac_rel_mean	C2-G3-T4-TP24	0.110629624	0.043467425	C2	G3	T4	TP24	72	24
428	log_EF_rel_mean	C2-G3-T4-TP24	0	0	C2	G3	T4	TP24	72	24
429	log_EC_rel_mean	C2-G3-T4-TP24	3.0370853	0.201419351	C2	G3	T4	TP24	72	24
430	log_KP_rel_mean	C2-G3-T4-TP24	5.828013971	0.110695604	C2	G3	T4	TP24	72	24
431	log_CI_rel_mean	C3-G1-T1-TP0	0	0	C3	G1	T1	TP0	0	0
432	log_Lac_rel_mean	C3-G1-T1-TP0	0	0	C3	G1	T1	TP0	0	0
433	log_EF_rel_mean	C3-G1-T1-TP0	0	0	C3	G1	T1	TP0	0	0
434	log_EC_rel_mean	C3-G1-T1-TP0	0	0	C3	G1	T1	TP0	0	0
435	log_KP_rel_mean	C3-G1-T1-TP0	0	0	C3	G1	T1	TP0	0	0
436	log_CI_rel_mean	C3-G1-T1-TP3	2.660740098	0.326635982	C3	G1	T1	TP3	3	3
437	log_Lac_rel_mean	C3-G1-T1-TP3	1.256130485	0.631582124	C3	G1	T1	TP3	3	3
438	log_EF_rel_mean	C3-G1-T1-TP3	2.493911704	0.797475857	C3	G1	T1	TP3	3	3
439	log_EC_rel_mean	C3-G1-T1-TP3	0	0	C3	G1	T1	TP3	3	3
440	log_KP_rel_mean	C3-G1-T1-TP3	4.2651992	0.17964412	C3	G1	T1	TP3	3	3
441	log_CI_rel_mean	C3-G1-T1-TP6	3.257355937	0.443458239	C3	G1	T1	TP6	6	6
442	log_Lac_rel_mean	C3-G1-T1-TP6	1.737031661	0.822287352	C3	G1	T1	TP6	6	6
443	log_EF_rel_mean	C3-G1-T1-TP6	4.358115113	0.542259938	C3	G1	T1	TP6	6	6
444	log_EC_rel_mean	C3-G1-T1-TP6	0	0	C3	G1	T1	TP6	6	6
445	log_KP_rel_mean	C3-G1-T1-TP6	5.184807008	0.333838227	C3	G1	T1	TP6	6	6
446	log_CI_rel_mean	C3-G1-T1-TP12	3.479561386	0.527359134	C3	G1	T1	TP12	12	12
447	log_Lac_rel_mean	C3-G1-T1-TP12	1.953363081	1.011936178	C3	G1	T1	TP12	12	12
448	log_EF_rel_mean	C3-G1-T1-TP12	5.165520913	0.154388409	C3	G1	T1	TP12	12	12
449	log_EC_rel_mean	C3-G1-T1-TP12	0	0	C3	G1	T1	TP12	12	12
450	log_KP_rel_mean	C3-G1-T1-TP12	5.115807078	0.180156871	C3	G1	T1	TP12	12	12
451	log_CI_rel_mean	C3-G1-T1-TP24	2.822802307	0.429364087	C3	G1	T1	TP24	24	24
452	log_Lac_rel_mean	C3-G1-T1-TP24	1.515183633	1.190608504	C3	G1	T1	TP24	24	24
453	log_EF_rel_mean	C3-G1-T1-TP24	4.41666956	0.211269834	C3	G1	T1	TP24	24	24
454	log_EC_rel_mean	C3-G1-T1-TP24	0	0	C3	G1	T1	TP24	24	24
455	log_KP_rel_mean	C3-G1-T1-TP24	5.527001268	0.127338629	C3	G1	T1	TP24	24	24
456	log_CI_rel_mean	C3-G2-T1-TP0	0	0	C3	G2	T1	TP0	24.1	0
457	log_Lac_rel_mean	C3-G2-T1-TP0	0	0	C3	G2	T1	TP0	24.1	0
458	log_EF_rel_mean	C3-G2-T1-TP0	0	0	C3	G2	T1	TP0	24.1	0
459	log_EC_rel_mean	C3-G2-T1-TP0	0	0	C3	G2	T1	TP0	24.1	0
460	log_KP_rel_mean	C3-G2-T1-TP0	0	0	C3	G2	T1	TP0	24.1	0
461	log_CI_rel_mean	C3-G2-T1-TP3	0.061428338	0.038582855	C3	G2	T1	TP3	27	3
462	log_Lac_rel_mean	C3-G2-T1-TP3	0.015956169	0.007146106	C3	G2	T1	TP3	27	3
463	log_EF_rel_mean	C3-G2-T1-TP3	2.449273886	0.284762242	C3	G2	T1	TP3	27	3
464	log_EC_rel_mean	C3-G2-T1-TP3	0	0	C3	G2	T1	TP3	27	3
465	log_KP_rel_mean	C3-G2-T1-TP3	3.615722691	0.655555136	C3	G2	T1	TP3	27	3
466	log_CI_rel_mean	C3-G2-T1-TP6	0.12941479	0.11469855	C3	G2	T1	TP6	30	6
467	log_Lac_rel_mean	C3-G2-T1-TP6	0.086582171	0.07187996	C3	G2	T1	TP6	30	6
468	log_EF_rel_mean	C3-G2-T1-TP6	5.093248932	0.134973879	C3	G2	T1	TP6	30	6
469	log_EC_rel_mean	C3-G2-T1-TP6	0	0	C3	G2	T1	TP6	30	6
470	log_KP_rel_mean	C3-G2-T1-TP6	5.094819216	0.167626148	C3	G2	T1	TP6	30	6
471	log_CI_rel_mean	C3-G2-T1-TP12	0.645128182	0.623898926	C3	G2	T1	TP12	36	12
472	log_Lac_rel_mean	C3-G2-T1-TP12	0.215953453	0.1947749	C3	G2	T1	TP12	36	12
473	log_EF_rel_mean	C3-G2-T1-TP12	5.257943103	0.122281939	C3	G2	T1	TP12	36	12
474	log_EC_rel_mean	C3-G2-T1-TP12	0	0	C3	G2	T1	TP12	36	12
475	log_KP_rel_mean	C3-G2-T1-TP12	5.219575688	0.319293406	C3	G2	T1	TP12	36	12
476	log_CI_rel_mean	C3-G2-T1-TP24	0.761107908	0.699262664	C3	G2	T1	TP24	48	24
477	log_Lac_rel_mean	C3-G2-T1-TP24	1.076596272	0.936142509	C3	G2	T1	TP24	48	24
478	log_EF_rel_mean	C3-G2-T1-TP24	4.880380297	0.185760761	C3	G2	T1	TP24	48	24
479	log_EC_rel_mean	C3-G2-T1-TP24	0	0	C3	G2	T1	TP24	48	24
480	log_KP_rel_mean	C3-G2-T1-TP24	5.565199603	0.355168923	C3	G2	T1	TP24	48	24
481	log_CI_rel_mean	C3-G2-T2-TP0	0	0	C3	G2	T2	TP0	24.1	0
482	log_Lac_rel_mean	C3-G2-T2-TP0	0	0	C3	G2	T2	TP0	24.1	0
483	log_EF_rel_mean	C3-G2-T2-TP0	0	0	C3	G2	T2	TP0	24.1	0
484	log_EC_rel_mean	C3-G2-T2-TP0	0	0	C3	G2	T2	TP0	24.1	0
485	log_KP_rel_mean	C3-G2-T2-TP0	0	0	C3	G2	T2	TP0	24.1	0
486	log_CI_rel_mean	C3-G2-T2-TP3	0.024570119	0.014310014	C3	G2	T2	TP3	27	3
487	log_Lac_rel_mean	C3-G2-T2-TP3	0.007043604	0.003738196	C3	G2	T2	TP3	27	3
488	log_EF_rel_mean	C3-G2-T2-TP3	2.286895509	0.251905141	C3	G2	T2	TP3	27	3
489	log_EC_rel_mean	C3-G2-T2-TP3	0	0	C3	G2	T2	TP3	27	3
490	log_KP_rel_mean	C3-G2-T2-TP3	3.459250169	0.864856252	C3	G2	T2	TP3	27	3
491	log_CI_rel_mean	C3-G2-T2-TP6	0.066263897	0.036257826	C3	G2	T2	TP6	30	6
492	log_Lac_rel_mean	C3-G2-T2-TP6	0.015315689	0.004534066	C3	G2	T2	TP6	30	6
493	log_EF_rel_mean	C3-G2-T2-TP6	4.96578388	0.23519127	C3	G2	T2	TP6	30	6
494	log_EC_rel_mean	C3-G2-T2-TP6	0	0	C3	G2	T2	TP6	30	6
495	log_KP_rel_mean	C3-G2-T2-TP6	5.150079416	0.199935665	C3	G2	T2	TP6	30	6
496	log_CI_rel_mean	C3-G2-T2-TP12	0.467879366	0.448811163	C3	G2	T2	TP12	36	12
497	log_Lac_rel_mean	C3-G2-T2-TP12	0.03411603	0.015150771	C3	G2	T2	TP12	36	12
498	log_EF_rel_mean	C3-G2-T2-TP12	5.193525565	0.101999255	C3	G2	T2	TP12	36	12
499	log_EC_rel_mean	C3-G2-T2-TP12	0	0	C3	G2	T2	TP12	36	12
500	log_KP_rel_mean	C3-G2-T2-TP12	5.346264023	0.12065048	C3	G2	T2	TP12	36	12
501	log_CI_rel_mean	C3-G2-T2-TP24	0.697257364	0.667684463	C3	G2	T2	TP24	48	24
502	log_Lac_rel_mean	C3-G2-T2-TP24	0.171544789	0.142102723	C3	G2	T2	TP24	48	24
503	log_EF_rel_mean	C3-G2-T2-TP24	4.858991713	0.249979899	C3	G2	T2	TP24	48	24
504	log_EC_rel_mean	C3-G2-T2-TP24	0	0	C3	G2	T2	TP24	48	24
505	log_KP_rel_mean	C3-G2-T2-TP24	5.353195062	0.306955036	C3	G2	T2	TP24	48	24
506	log_CI_rel_mean	C3-G2-T3-TP0	0	0	C3	G2	T3	TP0	24.1	0
507	log_Lac_rel_mean	C3-G2-T3-TP0	0	0	C3	G2	T3	TP0	24.1	0
508	log_EF_rel_mean	C3-G2-T3-TP0	0	0	C3	G2	T3	TP0	24.1	0
509	log_EC_rel_mean	C3-G2-T3-TP0	0	0	C3	G2	T3	TP0	24.1	0
510	log_KP_rel_mean	C3-G2-T3-TP0	0	0	C3	G2	T3	TP0	24.1	0
511	log_CI_rel_mean	C3-G2-T3-TP3	0.036276129	0.01838128	C3	G2	T3	TP3	27	3
512	log_Lac_rel_mean	C3-G2-T3-TP3	0.007760381	0.004441132	C3	G2	T3	TP3	27	3
513	log_EF_rel_mean	C3-G2-T3-TP3	1.113658171	0.434185526	C3	G2	T3	TP3	27	3
514	log_EC_rel_mean	C3-G2-T3-TP3	0	0	C3	G2	T3	TP3	27	3
515	log_KP_rel_mean	C3-G2-T3-TP3	3.788424657	0.585268571	C3	G2	T3	TP3	27	3
516	log_CI_rel_mean	C3-G2-T3-TP6	0.028028929	0.012455235	C3	G2	T3	TP6	30	6
517	log_Lac_rel_mean	C3-G2-T3-TP6	0.129742547	0.113892069	C3	G2	T3	TP6	30	6
518	log_EF_rel_mean	C3-G2-T3-TP6	3.441490477	0.651022459	C3	G2	T3	TP6	30	6
519	log_EC_rel_mean	C3-G2-T3-TP6	0	0	C3	G2	T3	TP6	30	6
520	log_KP_rel_mean	C3-G2-T3-TP6	5.604402967	0.178845911	C3	G2	T3	TP6	30	6
521	log_CI_rel_mean	C3-G2-T3-TP12	0.085788892	0.045679746	C3	G2	T3	TP12	36	12
522	log_Lac_rel_mean	C3-G2-T3-TP12	0.036537747	0.01809004	C3	G2	T3	TP12	36	12
523	log_EF_rel_mean	C3-G2-T3-TP12	4.647099791	0.309195756	C3	G2	T3	TP12	36	12
