	taxa	sample	mean	se	V1	V2	V3	V4	Time
169	log_EC_rel_mean	C1-G2-T2-TP3	1.55336375033333	0.675515280335768	C1	G2	T2	TP3	27
170	log_KP_rel_mean	C1-G2-T2-TP3	3.097782839	0.773522291265974	C1	G2	T2	TP3	27
181	log_CI_rel_mean	C1-G2-T2-TP6	0.0163403133333333	0.00256169599520333	C1	G2	T2	TP6	30
182	log_Lac_rel_mean	C1-G2-T2-TP6	0.0163403133333333	0.00256169599520333	C1	G2	T2	TP6	30
183	log_EF_rel_mean	C1-G2-T2-TP6	5.032536919	0.160157567215053	C1	G2	T2	TP6	30
184	log_EC_rel_mean	C1-G2-T2-TP6	3.152291889	0.522518924812768	C1	G2	T2	TP6	30
185	log_KP_rel_mean	C1-G2-T2-TP6	4.906158757	0.209776352733473	C1	G2	T2	TP6	30
196	log_CI_rel_mean	C1-G2-T2-TP12	0.487379862333333	0.459235986813128	C1	G2	T2	TP12	36
197	log_Lac_rel_mean	C1-G2-T2-TP12	0.0168919553333333	0.00404465244929625	C1	G2	T2	TP12	36
198	log_EF_rel_mean	C1-G2-T2-TP12	5.26852996533333	0.0916597694805436	C1	G2	T2	TP12	36
199	log_EC_rel_mean	C1-G2-T2-TP12	3.69119555666667	0.473929838112279	C1	G2	T2	TP12	36
200	log_KP_rel_mean	C1-G2-T2-TP12	5.07877774633333	0.2677193098627	C1	G2	T2	TP12	36
211	log_CI_rel_mean	C1-G2-T2-TP24	0.755200542	0.726983300249038	C1	G2	T2	TP24	48
212	log_Lac_rel_mean	C1-G2-T2-TP24	0.0348830893333333	0.00802426552126241	C1	G2	T2	TP24	48
213	log_EF_rel_mean	C1-G2-T2-TP24	4.92667830433333	0.215799771853336	C1	G2	T2	TP24	48
214	log_EC_rel_mean	C1-G2-T2-TP24	3.72364980766667	0.398569635015871	C1	G2	T2	TP24	48
215	log_KP_rel_mean	C1-G2-T2-TP24	5.203633599	0.28704107459437	C1	G2	T2	TP24	48
226	log_CI_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
227	log_Lac_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
228	log_EF_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
229	log_EC_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
230	log_KP_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
241	log_CI_rel_mean	C1-G2-T3-TP3	0.029317573	0.022479081330817	C1	G2	T3	TP3	27
242	log_Lac_rel_mean	C1-G2-T3-TP3	0.00883646566666667	0.00236145621951317	C1	G2	T3	TP3	27
243	log_EF_rel_mean	C1-G2-T3-TP3	0.755047798	0.462848549253506	C1	G2	T3	TP3	27
244	log_EC_rel_mean	C1-G2-T3-TP3	1.649057724	0.4053063910682	C1	G2	T3	TP3	27
245	log_KP_rel_mean	C1-G2-T3-TP3	3.443337397	0.493061563341764	C1	G2	T3	TP3	27
256	log_CI_rel_mean	C1-G2-T3-TP6	0.0276362993333333	0.00788769186989718	C1	G2	T3	TP6	30
257	log_Lac_rel_mean	C1-G2-T3-TP6	0.0276362993333333	0.00788769186989718	C1	G2	T3	TP6	30
258	log_EF_rel_mean	C1-G2-T3-TP6	3.52824202766667	0.584759231673228	C1	G2	T3	TP6	30
259	log_EC_rel_mean	C1-G2-T3-TP6	3.48881387233333	0.268632101883882	C1	G2	T3	TP6	30
260	log_KP_rel_mean	C1-G2-T3-TP6	5.505998546	0.198726385902042	C1	G2	T3	TP6	30
271	log_CI_rel_mean	C1-G2-T3-TP12	0.0297143153333333	0.0153373953356018	C1	G2	T3	TP12	36
272	log_Lac_rel_mean	C1-G2-T3-TP12	0.0297143153333333	0.0153373953356018	C1	G2	T3	TP12	36
273	log_EF_rel_mean	C1-G2-T3-TP12	4.587316503	0.364540498143548	C1	G2	T3	TP12	36
274	log_EC_rel_mean	C1-G2-T3-TP12	3.56285816666667	0.0552071608127232	C1	G2	T3	TP12	36
275	log_KP_rel_mean	C1-G2-T3-TP12	5.405935798	0.307473997538445	C1	G2	T3	TP12	36
286	log_CI_rel_mean	C1-G2-T3-TP24	0.0492703336666667	0.00631756470509353	C1	G2	T3	TP24	48
287	log_Lac_rel_mean	C1-G2-T3-TP24	0.0492703336666667	0.00631756470509353	C1	G2	T3	TP24	48
288	log_EF_rel_mean	C1-G2-T3-TP24	4.50632926233333	0.210845585842961	C1	G2	T3	TP24	48
289	log_EC_rel_mean	C1-G2-T3-TP24	3.70498602966667	0.231632585110012	C1	G2	T3	TP24	48
290	log_KP_rel_mean	C1-G2-T3-TP24	5.580908151	0.240701297531953	C1	G2	T3	TP24	48
301	log_CI_rel_mean	C1-G2-T4-TP0	0	0	C1	G2	T4	TP0	24.1
302	log_Lac_rel_mean	C1-G2-T4-TP0	0	0	C1	G2	T4	TP0	24.1
303	log_EF_rel_mean	C1-G2-T4-TP0	0	0	C1	G2	T4	TP0	24.1
304	log_EC_rel_mean	C1-G2-T4-TP0	0	0	C1	G2	T4	TP0	24.1
305	log_KP_rel_mean	C1-G2-T4-TP0	0	0	C1	G2	T4	TP0	24.1
316	log_CI_rel_mean	C1-G2-T4-TP3	0.012223237	0.00258385567343115	C1	G2	T4	TP3	27
317	log_Lac_rel_mean	C1-G2-T4-TP3	0.00776873733333333	0.00385559897784708	C1	G2	T4	TP3	27
318	log_EF_rel_mean	C1-G2-T4-TP3	0.251001332333333	0.164890117270307	C1	G2	T4	TP3	27
319	log_EC_rel_mean	C1-G2-T4-TP3	1.30529000133333	0.46175112622143	C1	G2	T4	TP3	27
320	log_KP_rel_mean	C1-G2-T4-TP3	3.10194475133333	0.422266462089289	C1	G2	T4	TP3	27
