Sample_ID	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time
C3-G2-T1-TP0-R3	C3-G2-T1-TP0	R3	49	0	-1	96	1.00	0.00		24.1
C3-G2-T1-TP12-R1	C3-G2-T1-TP12	R1	534	485	484	90	-1.77	0.00		36.0
C3-G2-T1-TP12-R2	C3-G2-T1-TP12	R2	420	371	370	82	-5.47	0.00		36.0
C3-G2-T1-TP12-R3	C3-G2-T1-TP12	R3	387	338	337	90	-1.77	0.00		36.0
C3-G2-T1-TP24-R1	C3-G2-T1-TP24	R1	526	477	476	91	-1.31	0.00		48.0
C3-G2-T1-TP24-R2	C3-G2-T1-TP24	R2	576	527	526	81	-5.93	0.00		48.0
C3-G2-T1-TP24-R3	C3-G2-T1-TP24	R3	351	302	301	88	-2.69	0.00		48.0
C3-G2-T1-TP3-R1	C3-G2-T1-TP3	R1	128	79	78	87	-3.16	0.00		27.0
C3-G2-T1-TP3-R2	C3-G2-T1-TP3	R2	134	85	84	82	-5.47	0.00		27.0
C3-G2-T1-TP3-R3	C3-G2-T1-TP3	R3	70	21	20	95	0.54	0.00		27.0
C3-G2-T1-TP6-R1	C3-G2-T1-TP6	R1	410	361	360	91	-1.31	0.00		30.0
C3-G2-T1-TP6-R2	C3-G2-T1-TP6	R2	364	315	314	83	-5.00	0.00		30.0
C3-G2-T1-TP6-R3	C3-G2-T1-TP6	R3	368	319	318	87	-3.16	0.00		30.0
C3-G2-T2-TP0-R1	C3-G2-T2-TP0	R1	53	0	3	114	9.31	11.09	1.00	24.1
C3-G2-T2-TP0-R2	C3-G2-T2-TP0	R2	48	0	-2	111	7.93	11.09	1.00	24.1
C3-G2-T2-TP0-R3	C3-G2-T2-TP0	R3	52	0	2	115	9.78	8.78	1.00	24.1
C3-G2-T2-TP12-R1	C3-G2-T2-TP12	R1	537	484	487	107	6.08	7.85	0.71	36.0
C3-G2-T2-TP12-R2	C3-G2-T2-TP12	R2	410	362	360	101	3.31	8.78	0.79	36.0
C3-G2-T2-TP12-R3	C3-G2-T2-TP12	R3	388	336	338	97	1.46	3.23	0.37	36.0
C3-G2-T2-TP24-R1	C3-G2-T2-TP24	R1	541	488	491	106	5.62	6.93	0.63	48.0
C3-G2-T2-TP24-R2	C3-G2-T2-TP24	R2	374	326	324	89	-2.23	3.70	0.33	48.0
C3-G2-T2-TP24-R3	C3-G2-T2-TP24	R3	339	287	289	87	-3.16	0.00	0.00	48.0
C3-G2-T2-TP3-R1	C3-G2-T2-TP3	R1	143	90	93	104	4.70	7.85	0.71	27.0
C3-G2-T2-TP3-R2	C3-G2-T2-TP3	R2	129	81	79	108	6.54	12.01	1.08	27.0
C3-G2-T2-TP3-R3	C3-G2-T2-TP3	R3	64	12	14	111	7.93	7.39	0.84	27.0
C3-G2-T2-TP6-R1	C3-G2-T2-TP6	R1	419	366	369	111	7.93	9.24	0.83	30.0
C3-G2-T2-TP6-R2	C3-G2-T2-TP6	R2	357	309	307	109	7.01	12.01	1.08	30.0
C3-G2-T2-TP6-R3	C3-G2-T2-TP6	R3	361	309	311	99	2.39	5.54	0.63	30.0
C3-G2-T3-TP0-R1	C3-G2-T3-TP0	R1	57	0	4	303	96.62	98.39	1.00	24.1
C3-G2-T3-TP0-R2	C3-G2-T3-TP0	R2	53	0	0	324	106.32	109.47	1.00	24.1
C3-G2-T3-TP0-R3	C3-G2-T3-TP0	R3	57	0	4	329	108.63	107.63	1.00	24.1
C3-G2-T3-TP12-R1	C3-G2-T3-TP12	R1	564	507	511	135	19.02	20.79	0.21	36.0
C3-G2-T3-TP12-R2	C3-G2-T3-TP12	R2	372	319	319	101	3.31	8.78	0.08	36.0
C3-G2-T3-TP12-R3	C3-G2-T3-TP12	R3	403	346	350	108	6.54	8.31	0.08	36.0
C3-G2-T3-TP24-R1	C3-G2-T3-TP24	R1	545	488	492	116	10.24	11.55	0.12	48.0
C3-G2-T3-TP24-R2	C3-G2-T3-TP24	R2	439	386	386	110	7.47	13.40	0.12	48.0
C3-G2-T3-TP24-R3	C3-G2-T3-TP24	R3	362	305	309	121	12.55	15.24	0.14	48.0
C3-G2-T3-TP3-R1	C3-G2-T3-TP3	R1	143	86	90	287	89.23	92.38	0.94	27.0
C3-G2-T3-TP3-R2	C3-G2-T3-TP3	R2	126	73	73	321	104.93	110.40	1.01	27.0
C3-G2-T3-TP3-R3	C3-G2-T3-TP3	R3	76	19	23	340	113.71	113.17	1.05	27.0
C3-G2-T3-TP6-R1	C3-G2-T3-TP6	R1	447	390	394	283	87.38	88.69	0.90	30.0
C3-G2-T3-TP6-R2	C3-G2-T3-TP6	R2	342	289	289	105	5.16	10.16	0.09	30.0
C3-G2-T3-TP6-R3	C3-G2-T3-TP6	R3	354	297	301	110	7.47	10.62	0.10	30.0
C3-G2-T4-TP0-R1	C3-G2-T4-TP0	R1	71	0	7	627	246.28	248.05	1.00	24.1
C3-G2-T4-TP0-R2	C3-G2-T4-TP0	R2	60	0	-4	656	259.67	262.83	1.00	24.1
C3-G2-T4-TP0-R3	C3-G2-T4-TP0	R3	59	0	-5	613	239.81	238.81	1.00	24.1
C3-G2-T4-TP12-R1	C3-G2-T4-TP12	R1	518	447	454	107	6.08	7.85	0.03	36.0
C3-G2-T4-TP12-R2	C3-G2-T4-TP12	R2	424	364	360	99	2.39	7.85	0.03	36.0
C3-G2-T4-TP12-R3	C3-G2-T4-TP12	R3	387	328	323	112	8.39	10.16	0.04	36.0
C3-G2-T4-TP24-R1	C3-G2-T4-TP24	R1	560	489	496	109	7.01	8.31	0.03	48.0
C3-G2-T4-TP24-R2	C3-G2-T4-TP24	R2	437	377	373	118	11.16	17.09	0.07	48.0
C3-G2-T4-TP24-R3	C3-G2-T4-TP24	R3	382	323	318	137	19.94	22.63	0.09	48.0
C3-G2-T4-TP3-R1	C3-G2-T4-TP3	R1	147	76	83	604	235.65	238.81	0.96	27.0
C3-G2-T4-TP3-R2	C3-G2-T4-TP3	R2	95	35	31	528	200.55	206.01	0.78	27.0
C3-G2-T4-TP3-R3	C3-G2-T4-TP3	R3	78	19	14	664	263.37	262.83	1.10	27.0
C3-G2-T4-TP6-R1	C3-G2-T4-TP6	R1	492	421	428	213	55.04	56.35	0.23	30.0
C3-G2-T4-TP6-R2	C3-G2-T4-TP6	R2	364	304	300	106	5.62	10.62	0.04	30.0
C3-G2-T4-TP6-R3	C3-G2-T4-TP6	R3	349	290	285	112	8.39	11.55	0.05	30.0
C3-G3-T1-TP0-R1	C3-G3-T1-TP0	R1	53	0	3					48.1
C3-G3-T1-TP0-R2	C3-G3-T1-TP0	R2	49	0	-1					48.1
C3-G3-T1-TP0-R3	C3-G3-T1-TP0	R3	49	0	-1					48.1
C3-G3-T1-TP12-R1	C3-G3-T1-TP12	R1	531	478	481					60.0
C3-G3-T1-TP12-R2	C3-G3-T1-TP12	R2	391	342	341					60.0
C3-G3-T1-TP12-R3	C3-G3-T1-TP12	R3	396	347	346					60.0
C3-G3-T1-TP24-R1	C3-G3-T1-TP24	R1	489	436	439					72.0
C3-G3-T1-TP24-R2	C3-G3-T1-TP24	R2	366	317	316					72.0
C3-G3-T1-TP24-R3	C3-G3-T1-TP24	R3	361	312	311					72.0
C3-G3-T1-TP3-R1	C3-G3-T1-TP3	R1	148	95	98					51.0
C3-G3-T1-TP3-R2	C3-G3-T1-TP3	R2	130	81	80					51.0
C3-G3-T1-TP3-R3	C3-G3-T1-TP3	R3	69	20	19					51.0
C3-G3-T1-TP6-R1	C3-G3-T1-TP6	R1	434	381	384					54.0
C3-G3-T1-TP6-R2	C3-G3-T1-TP6	R2	479	430	429					54.0
C3-G3-T1-TP6-R3	C3-G3-T1-TP6	R3	359	310	309					54.0
C3-G3-T2-TP0-R1	C3-G3-T2-TP0	R1	55	0	5					48.1
C3-G3-T2-TP0-R2	C3-G3-T2-TP0	R2	49	0	-1					48.1
C3-G3-T2-TP0-R3	C3-G3-T2-TP0	R3	49	0	-1					48.1
C3-G3-T2-TP12-R1	C3-G3-T2-TP12	R1	543	488	493					60.0
C3-G3-T2-TP12-R2	C3-G3-T2-TP12	R2	419	370	369					60.0
C3-G3-T2-TP12-R3	C3-G3-T2-TP12	R3	379	330	329					60.0
C3-G3-T2-TP24-R1	C3-G3-T2-TP24	R1	439	384	389					72.0
C3-G3-T2-TP24-R2	C3-G3-T2-TP24	R2	352	303	302					72.0
C3-G3-T2-TP24-R3	C3-G3-T2-TP24	R3	340	291	290					72.0
C3-G3-T2-TP3-R1	C3-G3-T2-TP3	R1	149	94	99					51.0
C3-G3-T2-TP3-R2	C3-G3-T2-TP3	R2	127	78	77					51.0
C3-G3-T2-TP3-R3	C3-G3-T2-TP3	R3	63	14	13					51.0
C3-G3-T2-TP6-R1	C3-G3-T2-TP6	R1	417	362	367					54.0
C3-G3-T2-TP6-R2	C3-G3-T2-TP6	R2	461	412	411					54.0
C3-G3-T2-TP6-R3	C3-G3-T2-TP6	R3	319	270	269					54.0
C3-G3-T3-TP0-R1	C3-G3-T3-TP0	R1	56	0	6					48.1
C3-G3-T3-TP0-R2	C3-G3-T3-TP0	R2	48	0	-2					48.1
C3-G3-T3-TP0-R3	C3-G3-T3-TP0	R3	49	0	-1					48.1
C3-G3-T3-TP12-R1	C3-G3-T3-TP12	R1	529	473	479					60.0
C3-G3-T3-TP12-R2	C3-G3-T3-TP12	R2	408	360	358					60.0
C3-G3-T3-TP12-R3	C3-G3-T3-TP12	R3	385	336	335					60.0
C3-G3-T3-TP24-R1	C3-G3-T3-TP24	R1	474	418	424					72.0
C3-G3-T3-TP24-R2	C3-G3-T3-TP24	R2	351	303	301					72.0
C3-G3-T3-TP24-R3	C3-G3-T3-TP24	R3	366	317	316					72.0
C3-G3-T3-TP3-R1	C3-G3-T3-TP3	R1	151	95	101					51.0
C3-G3-T3-TP3-R2	C3-G3-T3-TP3	R2	128	80	78					51.0
C3-G3-T3-TP3-R3	C3-G3-T3-TP3	R3	81	32	31					51.0
C3-G3-T3-TP6-R1	C3-G3-T3-TP6	R1	413	357	363					54.0
C3-G3-T3-TP6-R2	C3-G3-T3-TP6	R2	415	367	365					54.0
C3-G3-T3-TP6-R3	C3-G3-T3-TP6	R3	325	276	275					54.0
C3-G3-T4-TP0-R1	C3-G3-T4-TP0	R1	55	0	5					48.1
C3-G3-T4-TP0-R2	C3-G3-T4-TP0	R2	48	0	-2					48.1
C3-G3-T4-TP0-R3	C3-G3-T4-TP0	R3	50	0	0					48.1
C3-G3-T4-TP12-R1	C3-G3-T4-TP12	R1	523	468	473					60.0
C3-G3-T4-TP12-R2	C3-G3-T4-TP12	R2	427	379	377					60.0
C3-G3-T4-TP12-R3	C3-G3-T4-TP12	R3	392	342	342					60.0
C3-G3-T4-TP24-R1	C3-G3-T4-TP24	R1	446	391	396					72.0
C3-G3-T4-TP24-R2	C3-G3-T4-TP24	R2	344	296	294					72.0
C3-G3-T4-TP24-R3	C3-G3-T4-TP24	R3	369	319	319					72.0
C3-G3-T4-TP3-R1	C3-G3-T4-TP3	R1	151	96	101					51.0
C3-G3-T4-TP3-R2	C3-G3-T4-TP3	R2	126	78	76					51.0
C3-G3-T4-TP3-R3	C3-G3-T4-TP3	R3	86	36	36					51.0
C3-G3-T4-TP6-R1	C3-G3-T4-TP6	R1	444	389	394					54.0
C3-G3-T4-TP6-R2	C3-G3-T4-TP6	R2	381	333	331					54.0
C3-G3-T4-TP6-R3	C3-G3-T4-TP6	R3	322	272	272					54.0
C4-G1-NA-TP0-R1	C4-G1-NA-TP0	R1	56	0	6					0.0
C4-G1-NA-TP0-R2	C4-G1-NA-TP0	R2	53	0	3					0.0
C4-G1-NA-TP0-R3	C4-G1-NA-TP0	R3	52	0	2					0.0
C4-G1-NA-TP12-R1	C4-G1-NA-TP12	R1	538	482	488					12.0
C4-G1-NA-TP12-R2	C4-G1-NA-TP12	R2	439	386	389					12.0
C4-G1-NA-TP12-R3	C4-G1-NA-TP12	R3	438	386	388					12.0
C4-G1-NA-TP24-R1	C4-G1-NA-TP24	R1	472	416	422					24.0
C4-G1-NA-TP24-R2	C4-G1-NA-TP24	R2	408	355	358					24.0
C4-G1-NA-TP24-R3	C4-G1-NA-TP24	R3	444	392	394					24.0
C4-G1-NA-TP3-R1	C4-G1-NA-TP3	R1	82	26	32					3.0
C4-G1-NA-TP3-R2	C4-G1-NA-TP3	R2	147	94	97					3.0
C4-G1-NA-TP3-R3	C4-G1-NA-TP3	R3	148	96	98					3.0
C4-G1-NA-TP6-R1	C4-G1-NA-TP6	R1	304	248	254					6.0
C4-G1-NA-TP6-R2	C4-G1-NA-TP6	R2	445	392	395					6.0
C4-G1-NA-TP6-R3	C4-G1-NA-TP6	R3	435	383	385					6.0
C4-G2-T1-TP0-R1	C4-G2-T1-TP0	R1	50	0	0	91	-1.31	0.00		24.1
C4-G2-T1-TP0-R2	C4-G2-T1-TP0	R2	56	0	6	120	12.09	0.00		24.1
C4-G2-T1-TP0-R3	C4-G2-T1-TP0	R3	49	0	-1	97	1.46	0.00		24.1
C4-G2-T1-TP12-R1	C4-G2-T1-TP12	R1	535	485	485	88	-2.69	0.00		36.0
C4-G2-T1-TP12-R2	C4-G2-T1-TP12	R2	445	389	395	96	1.00	0.00		36.0
C4-G2-T1-TP12-R3	C4-G2-T1-TP12	R3	467	418	417	91	-1.31	0.00		36.0
C4-G2-T1-TP24-R1	C4-G2-T1-TP24	R1	514	464	464	88	-2.69	0.00		48.0
C4-G2-T1-TP24-R2	C4-G2-T1-TP24	R2	435	379	385	82	-5.47	0.00		48.0
C4-G2-T1-TP24-R3	C4-G2-T1-TP24	R3	388	339	338	90	-1.77	0.00		48.0
C4-G2-T1-TP3-R1	C4-G2-T1-TP3	R1	56	6	6	89	-2.23	0.00		27.0
C4-G2-T1-TP3-R2	C4-G2-T1-TP3	R2	66	10	16	82	-5.47	0.00		27.0
C4-G2-T1-TP3-R3	C4-G2-T1-TP3	R3	55	6	5	95	0.54	0.00		27.0
C4-G2-T1-TP6-R1	C4-G2-T1-TP6	R1	313	263	263	91	-1.31	0.00		30.0
C4-G2-T1-TP6-R2	C4-G2-T1-TP6	R2	359	303	309	144	23.17	0.00		30.0
C4-G2-T1-TP6-R3	C4-G2-T1-TP6	R3	284	235	234	88	-2.69	0.00		30.0
C4-G2-T2-TP0-R1	C4-G2-T2-TP0	R1	47	0	-3	109	7.01	8.31	1.00	24.1
C4-G2-T2-TP0-R2	C4-G2-T2-TP0	R2	50	0	0	113	8.85	0.00	NA	24.1
C4-G2-T2-TP0-R3	C4-G2-T2-TP0	R3	50	0	0	123	13.47	12.01	1.00	24.1
C4-G2-T2-TP12-R1	C4-G2-T2-TP12	R1	486	439	436	105	5.16	7.85	0.94	36.0
C4-G2-T2-TP12-R2	C4-G2-T2-TP12	R2	422	372	372	111	7.93	6.93	NA	36.0
C4-G2-T2-TP12-R3	C4-G2-T2-TP12	R3	421	371	371	113	8.85	10.16	0.85	36.0
C4-G2-T2-TP24-R1	C4-G2-T2-TP24	R1	491	444	441	93	-0.39	2.31	0.28	48.0
C4-G2-T2-TP24-R2	C4-G2-T2-TP24	R2	402	352	352	101	3.31	8.78	NA	48.0
C4-G2-T2-TP24-R3	C4-G2-T2-TP24	R3	358	308	308	100	2.85	4.62	0.38	48.0
C4-G2-T2-TP3-R1	C4-G2-T2-TP3	R1	56	9	6	109	7.01	9.24	1.11	27.0
C4-G2-T2-TP3-R2	C4-G2-T2-TP3	R2	69	19	19	106	5.62	11.09	NA	27.0
C4-G2-T2-TP3-R3	C4-G2-T2-TP3	R3	55	5	5	118	11.16	10.62	0.88	27.0
C4-G2-T2-TP6-R1	C4-G2-T2-TP6	R1	276	229	226	110	7.47	8.78	1.06	30.0
C4-G2-T2-TP6-R2	C4-G2-T2-TP6	R2	379	329	329	112	8.39	0.00	NA	30.0
C4-G2-T2-TP6-R3	C4-G2-T2-TP6	R3	276	226	226	110	7.47	10.16	0.85	30.0
C4-G2-T3-TP0-R1	C4-G2-T3-TP0	R1	51	0	-2	283	87.38	88.69	1.00	24.1
C4-G2-T3-TP0-R2	C4-G2-T3-TP0	R2	54	0	1	331	109.55	97.46	1.00	24.1
C4-G2-T3-TP0-R3	C4-G2-T3-TP0	R3	53	0	0	318	103.55	102.08	1.00	24.1
C4-G2-T3-TP12-R1	C4-G2-T3-TP12	R1	501	450	448	292	91.54	94.23	1.06	36.0
C4-G2-T3-TP12-R2	C4-G2-T3-TP12	R2	381	327	328	103	4.23	3.23	0.03	36.0
C4-G2-T3-TP12-R3	C4-G2-T3-TP12	R3	419	366	366	112	8.39	9.70	0.10	36.0
C4-G2-T3-TP24-R1	C4-G2-T3-TP24	R1	492	441	439	151	26.41	29.10	0.33	48.0
C4-G2-T3-TP24-R2	C4-G2-T3-TP24	R2	366	312	313	117	10.70	16.17	0.17	48.0
C4-G2-T3-TP24-R3	C4-G2-T3-TP24	R3	366	313	313	113	8.85	10.62	0.10	48.0
C4-G2-T3-TP3-R1	C4-G2-T3-TP3	R1	57	6	4	278	85.07	87.30	0.98	27.0
C4-G2-T3-TP3-R2	C4-G2-T3-TP3	R2	69	15	16	323	105.86	111.32	1.14	27.0
C4-G2-T3-TP3-R3	C4-G2-T3-TP3	R3	60	7	7	323	105.86	105.32	1.03	27.0
C4-G2-T3-TP6-R1	C4-G2-T3-TP6	R1	258	207	205	294	92.46	93.77	1.06	30.0
C4-G2-T3-TP6-R2	C4-G2-T3-TP6	R2	159	105	106	329	108.63	85.45	0.88	30.0
C4-G2-T3-TP6-R3	C4-G2-T3-TP6	R3	183	130	130	312	100.77	103.47	1.01	30.0
C4-G2-T4-TP0-R1	C4-G2-T4-TP0	R1	73	0	9	628	246.74	248.05	1.00	24.1
C4-G2-T4-TP0-R2	C4-G2-T4-TP0	R2	59	0	-5	640	252.28	240.20	1.00	24.1
C4-G2-T4-TP0-R3	C4-G2-T4-TP0	R3	59	0	-5	678	269.84	268.37	1.00	24.1
C4-G2-T4-TP12-R1	C4-G2-T4-TP12	R1	515	442	451	123	13.47	16.17	0.07	36.0
C4-G2-T4-TP12-R2	C4-G2-T4-TP12	R2	64	5	0	623	244.43	243.43	1.01	36.0
C4-G2-T4-TP12-R3	C4-G2-T4-TP12	R3	75	16	11	683	272.14	273.45	1.02	36.0
C4-G2-T4-TP24-R1	C4-G2-T4-TP24	R1	474	401	410	99	2.39	5.08	0.02	48.0
C4-G2-T4-TP24-R2	C4-G2-T4-TP24	R2	489	430	425	110	7.47	12.93	0.05	48.0
C4-G2-T4-TP24-R3	C4-G2-T4-TP24	R3	361	302	297	180	39.80	41.57	0.15	48.0
C4-G2-T4-TP3-R1	C4-G2-T4-TP3	R1	79	6	15	579	224.11	226.34	0.91	27.0
C4-G2-T4-TP3-R2	C4-G2-T4-TP3	R2	63	4	-1	651	257.36	262.83	1.09	27.0
C4-G2-T4-TP3-R3	C4-G2-T4-TP3	R3	61	2	-3	687	273.99	273.45	1.02	27.0
C4-G2-T4-TP6-R1	C4-G2-T4-TP6	R1	296	223	232	648	255.98	257.29	1.04	30.0
C4-G2-T4-TP6-R2	C4-G2-T4-TP6	R2	64	5	0	661	261.98	238.81	0.99	30.0
C4-G2-T4-TP6-R3	C4-G2-T4-TP6	R3	67	8	3	659	261.06	263.75	0.98	30.0
C4-G3-T1-TP0-R1	C4-G3-T1-TP0	R1	53	0	3					48.1
C4-G3-T1-TP0-R2	C4-G3-T1-TP0	R2	47	0	-3					48.1
C4-G3-T1-TP0-R3	C4-G3-T1-TP0	R3	50	0	0					48.1
C4-G3-T1-TP12-R1	C4-G3-T1-TP12	R1	462	409	412					60.0
C4-G3-T1-TP12-R2	C4-G3-T1-TP12	R2	479	432	429					60.0
C4-G3-T1-TP12-R3	C4-G3-T1-TP12	R3	434	384	384					60.0
C4-G3-T1-TP24-R1	C4-G3-T1-TP24	R1	458	405	408					72.0
C4-G3-T1-TP24-R2	C4-G3-T1-TP24	R2	423	376	373					72.0
C4-G3-T1-TP24-R3	C4-G3-T1-TP24	R3	385	335	335					72.0
C4-G3-T1-TP3-R1	C4-G3-T1-TP3	R1	61	8	11					51.0
C4-G3-T1-TP3-R2	C4-G3-T1-TP3	R2	80	33	30					51.0
C4-G3-T1-TP3-R3	C4-G3-T1-TP3	R3	54	4	4					51.0
C4-G3-T1-TP6-R1	C4-G3-T1-TP6	R1	346	293	296					54.0
C4-G3-T1-TP6-R2	C4-G3-T1-TP6	R2	387	340	337					54.0
C4-G3-T1-TP6-R3	C4-G3-T1-TP6	R3	204	154	154					54.0
C4-G3-T2-TP0-R1	C4-G3-T2-TP0	R1	54	0	4					48.1
C4-G3-T2-TP0-R2	C4-G3-T2-TP0	R2	47	0	-3					48.1
C4-G3-T2-TP0-R3	C4-G3-T2-TP0	R3	49	0	-1					48.1
C4-G3-T2-TP12-R1	C4-G3-T2-TP12	R1	434	380	384					60.0
C4-G3-T2-TP12-R2	C4-G3-T2-TP12	R2	473	426	423					60.0
C4-G3-T2-TP12-R3	C4-G3-T2-TP12	R3	415	366	365					60.0
C4-G3-T2-TP24-R1	C4-G3-T2-TP24	R1	422	368	372					72.0
C4-G3-T2-TP24-R2	C4-G3-T2-TP24	R2	419	372	369					72.0
C4-G3-T2-TP24-R3	C4-G3-T2-TP24	R3	370	321	320					72.0
C4-G3-T2-TP3-R1	C4-G3-T2-TP3	R1	62	8	12					51.0
C4-G3-T2-TP3-R2	C4-G3-T2-TP3	R2	86	39	36					51.0
C4-G3-T2-TP3-R3	C4-G3-T2-TP3	R3	55	6	5					51.0
C4-G3-T2-TP6-R1	C4-G3-T2-TP6	R1	367	313	317					54.0
C4-G3-T2-TP6-R2	C4-G3-T2-TP6	R2	374	327	324					54.0
C4-G3-T2-TP6-R3	C4-G3-T2-TP6	R3	233	184	183					54.0
C4-G3-T3-TP0-R1	C4-G3-T3-TP0	R1	55	0	5					48.1
C4-G3-T3-TP0-R2	C4-G3-T3-TP0	R2	48	0	-2					48.1
C4-G3-T3-TP0-R3	C4-G3-T3-TP0	R3	50	0	0					48.1
C4-G3-T3-TP12-R1	C4-G3-T3-TP12	R1	451	396	401					60.0
C4-G3-T3-TP12-R2	C4-G3-T3-TP12	R2	442	394	392					60.0
C4-G3-T3-TP12-R3	C4-G3-T3-TP12	R3	408	358	358					60.0
C4-G3-T3-TP24-R1	C4-G3-T3-TP24	R1	400	345	350					72.0
C4-G3-T3-TP24-R2	C4-G3-T3-TP24	R2	425	377	375					72.0
C4-G3-T3-TP24-R3	C4-G3-T3-TP24	R3	377	327	327					72.0
C4-G3-T3-TP3-R1	C4-G3-T3-TP3	R1	72	17	22					51.0
C4-G3-T3-TP3-R2	C4-G3-T3-TP3	R2	62	14	12					51.0
C4-G3-T3-TP3-R3	C4-G3-T3-TP3	R3	55	5	5					51.0
C4-G3-T3-TP6-R1	C4-G3-T3-TP6	R1	390	335	340					54.0
C4-G3-T3-TP6-R2	C4-G3-T3-TP6	R2	368	320	318					54.0
C4-G3-T3-TP6-R3	C4-G3-T3-TP6	R3	231	181	181					54.0
C4-G3-T4-TP0-R1	C4-G3-T4-TP0	R1	55	0	5					48.1
C4-G3-T4-TP0-R2	C4-G3-T4-TP0	R2	48	0	-2					48.1
C4-G3-T4-TP0-R3	C4-G3-T4-TP0	R3	50	0	0					48.1
C4-G3-T4-TP12-R1	C4-G3-T4-TP12	R1	476	421	426					60.0
C4-G3-T4-TP12-R2	C4-G3-T4-TP12	R2	478	430	428					60.0
C4-G3-T4-TP12-R3	C4-G3-T4-TP12	R3	426	376	376					60.0
C4-G3-T4-TP24-R1	C4-G3-T4-TP24	R1	451	396	401					72.0
C4-G3-T4-TP24-R2	C4-G3-T4-TP24	R2	456	408	406					72.0
C4-G3-T4-TP24-R3	C4-G3-T4-TP24	R3	415	365	365					72.0
C4-G3-T4-TP3-R1	C4-G3-T4-TP3	R1	66	11	16					51.0
C4-G3-T4-TP3-R2	C4-G3-T4-TP3	R2	71	23	21					51.0
C4-G3-T4-TP3-R3	C4-G3-T4-TP3	R3	55	5	5					51.0
C4-G3-T4-TP6-R1	C4-G3-T4-TP6	R1	341	286	291					54.0
C4-G3-T4-TP6-R2	C4-G3-T4-TP6	R2	413	365	363					54.0
C4-G3-T4-TP6-R3	C4-G3-T4-TP6	R3	159	109	109					54.0
C5-G1-NA-TP0-R1	C5-G1-NA-TP0	R1	56	0	6					0.0
C5-G1-NA-TP0-R2	C5-G1-NA-TP0	R2	53	0	3					0.0
C5-G1-NA-TP0-R3	C5-G1-NA-TP0	R3	54	0	4					0.0
C5-G1-NA-TP12-R1	C5-G1-NA-TP12	R1	544	488	494					12.0
C5-G1-NA-TP12-R2	C5-G1-NA-TP12	R2	400	347	350					12.0
C5-G1-NA-TP12-R3	C5-G1-NA-TP12	R3	403	349	353					12.0
C5-G1-NA-TP24-R1	C5-G1-NA-TP24	R1	385	329	335					24.0
C5-G1-NA-TP24-R2	C5-G1-NA-TP24	R2	302	249	252					24.0
C5-G1-NA-TP24-R3	C5-G1-NA-TP24	R3	330	276	280					24.0
C5-G1-NA-TP3-R1	C5-G1-NA-TP3	R1	60	4	10					3.0
C5-G1-NA-TP3-R2	C5-G1-NA-TP3	R2	61	8	11					3.0
C5-G1-NA-TP3-R3	C5-G1-NA-TP3	R3	82	28	32					3.0
C5-G1-NA-TP6-R1	C5-G1-NA-TP6	R1	92	36	42					6.0
C5-G1-NA-TP6-R2	C5-G1-NA-TP6	R2	119	66	69					6.0
C5-G1-NA-TP6-R3	C5-G1-NA-TP6	R3	394	340	344					6.0
C5-G2-T1-TP0-R1	C5-G2-T1-TP0	R1	54	0	4	96	1.00	0.00		24.1
C5-G2-T1-TP0-R2	C5-G2-T1-TP0	R2	48	0	-2	85	-4.08	0.00		24.1
C5-G2-T1-TP0-R3	C5-G2-T1-TP0	R3	49	0	-1	95	0.54	0.00		24.1
C5-G2-T1-TP12-R1	C5-G2-T1-TP12	R1	367	313	317	86	-3.62	0.00		36.0
C5-G2-T1-TP12-R2	C5-G2-T1-TP12	R2	377	329	327	78	-7.31	0.00		36.0
C5-G2-T1-TP12-R3	C5-G2-T1-TP12	R3	350	301	300	89	-2.23	0.00		36.0
C5-G2-T1-TP24-R1	C5-G2-T1-TP24	R1	455	401	405	87	-3.16	0.00		48.0
C5-G2-T1-TP24-R2	C5-G2-T1-TP24	R2	351	303	301	83	-5.00	0.00		48.0
C5-G2-T1-TP24-R3	C5-G2-T1-TP24	R3	274	225	224	87	-3.16	0.00		48.0
C5-G2-T1-TP3-R1	C5-G2-T1-TP3	R1	52	-2	2	92	-0.85	0.00		27.0
C5-G2-T1-TP3-R2	C5-G2-T1-TP3	R2	59	11	9	81	-5.93	0.00		27.0
C5-G2-T1-TP3-R3	C5-G2-T1-TP3	R3	53	4	3	100	2.85	0.00		27.0
C5-G2-T1-TP6-R1	C5-G2-T1-TP6	R1	102	48	52	92	-0.85	0.00		30.0
C5-G2-T1-TP6-R2	C5-G2-T1-TP6	R2	165	117	115	83	-5.00	0.00		30.0
C5-G2-T1-TP6-R3	C5-G2-T1-TP6	R3	184	135	134	90	-1.77	0.00		30.0
C5-G2-T2-TP0-R1	C5-G2-T2-TP0	R1	54	0	4	116	10.24	9.24	1.00	24.1
C5-G2-T2-TP0-R2	C5-G2-T2-TP0	R2	48	0	-2	111	7.93	12.01	1.00	24.1
C5-G2-T2-TP0-R3	C5-G2-T2-TP0	R3	50	0	0	122	13.01	12.47	1.00	24.1
C5-G2-T2-TP12-R1	C5-G2-T2-TP12	R1	344	290	294	100	2.85	6.47	0.70	36.0
C5-G2-T2-TP12-R2	C5-G2-T2-TP12	R2	331	283	281	98	1.92	9.24	0.77	36.0
