	OD_600_mean	OD_600_sd	OD_600_se	Dox_mean	Dox_sd	Dox_se	Time_mean
C2-G2-T3-TP24	367.666666666667	61.7845719685209	35.6713392577913	15.2433333333333	7.87896143748231	4.54892050686509	48
C2-G2-T3-TP3	42	32.6036807738022	18.8237438713273	111.63	8.54598736249943	4.93402810423018	27
C2-G2-T3-TP6	327.333333333333	60.3683139845178	34.8536623294852	38.49	49.5833732212725	28.6269738766313	30
C2-G2-T4-TP0	0	0	0	259.596666666667	13.4600978203479	7.77119109989653	24.1
C2-G2-T4-TP12	375.666666666667	67.2408605933426	38.8215289641084	11.3933333333333	3.40201900837331	1.96415659027256	36
C2-G2-T4-TP24	358	73.8985791473693	42.6653645634645	12.93	4.40541711986504	2.54346876004667	48
C2-G2-T4-TP3	32.6666666666667	33.501243758006	19.341952101872	256.056666666667	23.7024773670039	13.6846316883007	27
C2-G2-T4-TP6	331	82.9397371589759	47.8852795752515	26.3266666666667	24.5321836234228	14.1636628187925	30
C2-G3-T1-TP0	0	0	0	NA	NA	NA	48.1
C2-G3-T1-TP12	370.666666666667	102.402799440901	59.1222838229753	NA	NA	NA	60
C2-G3-T1-TP24	347.333333333333	83.428612198294	48.167531710802	NA	NA	NA	72
C2-G3-T1-TP3	56.3333333333333	30.4357246231026	17.5720738041296	NA	NA	NA	51
C2-G3-T1-TP6	310	43.2781700167648	24.9866631092136	NA	NA	NA	54
C2-G3-T2-TP0	0	0	0	NA	NA	NA	48.1
C2-G3-T2-TP12	371	91.6515138991168	52.9150262212918	NA	NA	NA	60
C2-G3-T2-TP24	357.666666666667	75.0355471315651	43.3217933352	NA	NA	NA	72
C2-G3-T2-TP3	54	38	21.9393102292058	NA	NA	NA	51
C2-G3-T2-TP6	318.333333333333	41.8847625435949	24.1821789294881	NA	NA	NA	54
C2-G3-T3-TP0	0	0	0	NA	NA	NA	48.1
C2-G3-T3-TP12	358.333333333333	100.758787871497	58.1731133008292	NA	NA	NA	60
C2-G3-T3-TP24	342.666666666667	73.1869751617959	42.2545198108373	NA	NA	NA	72
C2-G3-T3-TP3	56.6666666666667	28.1484161780611	16.2514956576652	NA	NA	NA	51
C2-G3-T3-TP6	312.333333333333	47.6480149988783	27.5095942859537	NA	NA	NA	54
C2-G3-T4-TP0	0	0	0	NA	NA	NA	48.1
C2-G3-T4-TP12	391.333333333333	66.0025252042172	38.1065756938499	NA	NA	NA	60
C2-G3-T4-TP24	363.666666666667	54.2709253038248	31.3333333333333	NA	NA	NA	72
C2-G3-T4-TP3	62	21.6564078277077	12.5033328890074	NA	NA	NA	51
C2-G3-T4-TP6	327.666666666667	17.6162803489651	10.1707642015949	NA	NA	NA	54
C3-G1-NA-TP0	0	0	0	NA	NA	NA	0
C3-G1-NA-TP12	409.333333333333	80.6494471979401	46.5629800497252	NA	NA	NA	12
C3-G1-NA-TP24	375.666666666667	80.9279514959654	46.7237745811606	NA	NA	NA	24
C3-G1-NA-TP3	112.666666666667	16.2583311976763	9.38675189355248	NA	NA	NA	3
C3-G1-NA-TP6	340.333333333333	11.9303534454489	6.88799277325728	NA	NA	NA	6
C3-G2-T1-TP0	0	0	0	0	0	0	24.1
C3-G2-T1-TP12	398	77.1297607930946	44.5308881564246	0	0	0	36
C3-G2-T1-TP24	435.333333333333	118.145390656315	68.2112730989371	0	0	0	48
C3-G2-T1-TP3	61.6666666666667	35.3459097114975	20.4069704866853	0	0	0	27
C3-G2-T1-TP6	331.666666666667	25.4820198048219	14.7120509938093	0	0	0	30
C3-G2-T2-TP0	0	0	0	10.32	1.33367912182804	0.77	24.1
C3-G2-T2-TP12	394	79.0189850605536	45.6216322958017	6.62	2.97242325384525	1.71612936575306	36
C3-G2-T2-TP24	367	106.587991818966	61.5386057690618	3.54333333333333	3.46765530774518	2.00205172538352	48
C3-G2-T2-TP3	61	42.6731765867037	24.6373699895098	9.08333333333333	2.54498199076798	1.46934603745264	27
C3-G2-T2-TP6	328	32.9089653438087	19	8.93	3.24612076177089	1.87414869563045	30
C3-G2-T3-TP0	0	0	0	105.163333333333	5.93758649059812	3.42806715868351	24.1
C3-G2-T3-TP12	390.666666666667	101.648085733738	58.6865496609837	12.6266666666667	7.07355874601557	4.08392104614072	36
C3-G2-T3-TP24	393	91.700599779936	52.9433659677962	13.3966666666667	1.84500225835453	1.06521255051646	48
C3-G2-T3-TP3	59.3333333333333	35.5293306063221	20.5128685896873	105.316666666667	11.2887658020411	6.51757197462709	27
C3-G2-T3-TP6	325.333333333333	56.1456439390745	32.4157026420495	36.49	45.2071111662756	26.1003378011346	30
C3-G2-T4-TP0	0	0	0	249.896666666667	12.1160114449159	6.99518246922678	24.1
C3-G2-T4-TP12	379.666666666667	61.0273162881454	35.2341374868812	8.62	1.33367912182804	0.77	36
C3-G2-T4-TP24	396.333333333333	84.6719158477788	48.8853534075164	16.01	7.2208309771106	4.16894870840759	48
C3-G2-T4-TP3	43.3333333333333	29.3995464817628	16.9738360752987	235.883333333333	28.5228352961856	16.4676666363041	27
C3-G2-T4-TP6	338.333333333333	71.9328390468035	41.530443987246	26.1733333333333	26.1378964978694	15.0907215790955	30
C3-G3-T1-TP0	0	0	0	NA	NA	NA	48.1
C3-G3-T1-TP12	389	77.1167945391923	44.5234020862437	NA	NA	NA	60
C3-G3-T1-TP24	355	70.1925922017416	40.5257120027932	NA	NA	NA	72
C3-G3-T1-TP3	65.3333333333333	39.8789836045671	23.0241419191055	NA	NA	NA	51
C3-G3-T1-TP6	373.666666666667	60.3351749258534	34.8345294850446	NA	NA	NA	54
C3-G3-T2-TP0	0	0	0	NA	NA	NA	48.1
C3-G3-T2-TP12	396	82.1462111116514	47.4271370982198	NA	NA	NA	60
C3-G3-T2-TP24	326	50.586559479767	29.2061637330205	NA	NA	NA	72
C3-G3-T2-TP3	62	42.3320209770335	24.4404037064311	NA	NA	NA	51
C3-G3-T2-TP6	348	72.0277724214764	41.5852537966685	NA	NA	NA	54
C3-G3-T3-TP0	0	0	0	NA	NA	NA	48.1
C3-G3-T3-TP12	389.666666666667	73.1596427911819	42.2387394593057	NA	NA	NA	60
C3-G3-T3-TP24	346	62.745517768204	36.226141573915	NA	NA	NA	72
C3-G3-T3-TP3	69	32.9089653438087	19	NA	NA	NA	51
C3-G3-T3-TP6	333.333333333333	49.9032397077919	28.8116488787281	NA	NA	NA	54
C3-G3-T4-TP0	0	0	0	NA	NA	NA	48.1
C3-G3-T4-TP12	396.333333333333	64.7636729450495	37.3913240085332	NA	NA	NA	60
C3-G3-T4-TP24	335.333333333333	49.5614097189873	28.6142932426747	NA	NA	NA	72
C3-G3-T4-TP3	70	30.7896086366813	17.7763888346312	NA	NA	NA	51
C3-G3-T4-TP6	331.333333333333	58.5178035586892	33.7852696369948	NA	NA	NA	54
C4-G1-NA-TP0	0	0	0	NA	NA	NA	0
C4-G1-NA-TP12	418	55.4256258422041	32	NA	NA	NA	12
C4-G1-NA-TP24	387.666666666667	30.7300070506554	17.741977842895	NA	NA	NA	24
C4-G1-NA-TP3	72	39.8497176903426	23.0072452356499	NA	NA	NA	3
C4-G1-NA-TP6	341	80.6659779584925	46.5725240887801	NA	NA	NA	6
C4-G2-T1-TP0	0	0	0	0	0	0	24.1
C4-G2-T1-TP12	430.666666666667	49.2375195692607	28.4272951775422	0	0	0	36
C4-G2-T1-TP24	394	63.8357266740185	36.85557397916	0	0	0	48
C4-G2-T1-TP3	7.33333333333333	2.3094010767585	1.33333333333333	0	0	0	27
C4-G2-T1-TP6	267	34.1760149812701	19.731531449265	0	0	0	30
C4-G2-T2-TP0	0	0	0	6.77333333333333	6.15069372781098	3.55110467945461	24.1
C4-G2-T2-TP12	394	38.9743505398102	22.5018517756502	8.31333333333333	1.66410135909245	0.960769367630847	36
C4-G2-T2-TP24	368	69.3974062915899	40.0666112035113	5.23666666666667	3.27878534419887	1.89300760108822	48
C4-G2-T2-TP3	11	7.21110255092798	4.16333199893227	10.3166666666667	0.961578563266327	0.555167642348787	27
C4-G2-T2-TP6	261.333333333333	58.6202467866976	33.8444152622622	6.31333333333333	5.51087409884615	3.18170464443896	30
C4-G2-T3-TP0	0	0	0	96.0766666666667	6.80134055413588	3.92675579978067	24.1
C4-G2-T3-TP12	381	62.8569805192709	36.2904946232481	35.72	50.7743074792754	29.3145600910765	36
C4-G2-T3-TP24	355.333333333333	74.1911944460617	42.8343060849336	18.63	9.48242057704677	5.4746780727272	48
C4-G2-T3-TP3	9.33333333333333	4.93288286231625	2.84800124843918	101.313333333333	12.5012052752258	7.21757423084638	27
C4-G2-T3-TP6	147.333333333333	53.1632705289407	30.6938285508848	94.23	9.0188025812743	5.20700809806681	30
C4-G2-T4-TP0	0	0	0	252.206666666667	14.5377313681789	8.39336311882457	24.1
C4-G2-T4-TP12	154.333333333333	249.187345853142	143.86838120696	177.683333333333	140.677708729327	81.2203130038566	36
C4-G2-T4-TP24	377.666666666667	67.1143303127829	38.7484766725667	19.86	19.206735797631	11.0890140830163	48
C4-G2-T4-TP3	4	2	1.15470053837925	254.206666666667	24.7105126076602	14.2666211058462	27
C4-G2-T4-TP6	78.6666666666667	125.00533321956	72.1718627844521	253.283333333333	12.9437604015732	7.47308355217428	30
C4-G3-T1-TP0	0	0	0	NA	NA	NA	48.1
C4-G3-T1-TP12	408.333333333333	24.0069434400411	13.8604152575279	NA	NA	NA	60
C4-G3-T1-TP24	372	35.1710107901379	20.3059925473574	NA	NA	NA	72
C4-G3-T1-TP3	15	15.7162336455017	9.07377172587747	NA	NA	NA	51
C4-G3-T1-TP6	262.333333333333	96.7178025667112	55.8400493473198	NA	NA	NA	54
C4-G3-T2-TP0	0	0	0	NA	NA	NA	48.1
C4-G3-T2-TP12	390.666666666667	31.3900196453161	18.1230362920909	NA	NA	NA	60
C4-G3-T2-TP24	353.666666666667	28.360771028541	16.3740987877535	NA	NA	NA	72
C4-G3-T2-TP3	17.6666666666667	18.5022521151706	10.682280239308	NA	NA	NA	51
C4-G3-T2-TP6	274.666666666667	78.8310429547481	45.5131238704227	NA	NA	NA	54
C4-G3-T3-TP0	0	0	0	NA	NA	NA	48.1
C4-G3-T3-TP12	382.666666666667	21.3853532431273	12.3468394516348	NA	NA	NA	60
C4-G3-T3-TP24	349.666666666667	25.3245598842968	14.6211414663075	NA	NA	NA	72
C4-G3-T3-TP3	12	6.2449979983984	3.60555127546399	NA	NA	NA	51
C4-G3-T3-TP6	278.666666666667	84.9136816616341	49.0249369652266	NA	NA	NA	54
C4-G3-T4-TP0	0	0	0	NA	NA	NA	48.1
C4-G3-T4-TP12	409	28.9309522829789	16.7032930884901	NA	NA	NA	60
C4-G3-T4-TP24	389.666666666667	22.1885856541902	12.8105859003838	NA	NA	NA	72
C4-G3-T4-TP3	13	9.16515138991168	5.29150262212918	NA	NA	NA	51
C4-G3-T4-TP6	253.333333333333	131.089028272138	75.6842857607252	NA	NA	NA	54
C5-G1-NA-TP0	0	0	0	NA	NA	NA	0
C5-G1-NA-TP12	394.666666666667	80.8352233456018	46.6702379585868	NA	NA	NA	12
C5-G1-NA-TP24	284.666666666667	40.698075302566	23.4970447314361	NA	NA	NA	24
C5-G1-NA-TP3	13.3333333333333	12.8582010146573	7.4236858171067	NA	NA	NA	3
C5-G1-NA-TP6	147.333333333333	167.527112233612	96.7218233446367	NA	NA	NA	6
C5-G2-T1-TP0	0	0	0	0	0	0	24.1
C5-G2-T1-TP12	314.333333333333	14.047538337137	8.11035004039763	0	0	0	36
C5-G2-T1-TP24	309.666666666667	88.1891905696686	50.9160529150134	0	0	0	48
C5-G2-T1-TP3	4.33333333333333	6.50640709864771	3.75647588986155	0	0	0	27
C5-G2-T1-TP6	100	45.9238500128201	26.5141471671257	0	0	0	30
C5-G2-T2-TP0	0	0	0	11.24	1.74725498997714	1.00877813880622	24.1
C5-G2-T2-TP12	284.333333333333	5.13160143944688	2.96273147243853	7.08333333333333	1.92474240700758	1.11125054680651	36
C5-G2-T2-TP24	233.333333333333	75.8309523435736	43.7810207484679	5.23666666666667	1.1629416723694	0.671424687594306	48
C5-G2-T2-TP3	3.66666666666667	5.68624070307733	3.2829526005987	9.39333333333333	1.92474240700758	1.11125054680652	27
C5-G2-T2-TP6	75.6666666666667	31.3421973277773	18.0954260641866	11.8566666666667	1.75078077820535	1.01081375358888	30
C5-G2-T3-TP0	0	0	0	105.93	3.14241945004164	1.81427671538826	24.1
C5-G2-T3-TP12	224.333333333333	48.8091521472493	28.1799771311318	102.546666666667	2.57195126962649	1.48491675786146	36
C5-G2-T3-TP24	117	57.662812973354	33.291640592397	72.2133333333333	27.889737061029	16.102147199813	48
C5-G2-T3-TP3	0	1	0.577350269189626	105.55	7.50947401620114	4.33559684472623	27
C5-G2-T3-TP6	20.6666666666667	1.52752523165195	0.881917103688197	108.243333333333	3.93224278667192	2.270281431404	30
C5-G2-T4-TP0	0	0	0	246.97	5.93551177237482	3.4268693195588	24.1
C5-G2-T4-TP12	5.33333333333333	5.03322295684717	2.90593262902712	236.5	9.80049998724556	5.65832130582915	36
C5-G2-T4-TP24	141	112	64.6632301492381	234.806666666667	16.5018433313777	9.52734368949593	48
C5-G2-T4-TP3	-0.666666666666667	0.577350269189626	0.333333333333333	239.505	17.9675833099502	10.3735890606868	27
C5-G2-T4-TP6	1.66666666666667	2.08166599946613	1.20185042515466	237.426666666667	23.7919762384997	13.736303885851	30
C5-G3-T1-TP0	0	0	0	NA	NA	NA	48.1
C5-G3-T1-TP12	390.666666666667	122.500340135582	70.7256043530991	NA	NA	NA	60
C5-G3-T1-TP24	328.333333333333	131.507921180944	75.926133694386	NA	NA	NA	72
C5-G3-T1-TP3	6.33333333333333	4.04145188432738	2.33333333333333	NA	NA	NA	51
C5-G3-T1-TP6	167.333333333333	57.7436865235788	33.3383329583896	NA	NA	NA	54
C5-G3-T2-TP0	0	0	0	NA	NA	NA	48.1
C5-G3-T2-TP12	330.666666666667	7.63762615825973	4.40958551844098	NA	NA	NA	60
C5-G3-T2-TP24	265.666666666667	26.006409466386	15.0148075060736	NA	NA	NA	72
C5-G3-T2-TP3	2.33333333333333	2.08166599946613	1.20185042515466	NA	NA	NA	51
C5-G3-T2-TP6	89.3333333333333	43.66157731156	25.2080234140728	NA	NA	NA	54
C5-G3-T3-TP0	0	0	0	NA	NA	NA	48.1
C5-G3-T3-TP12	341.333333333333	16.1658075373095	9.33333333333333	NA	NA	NA	60
C5-G3-T3-TP24	268.666666666667	9.07377172587747	5.23874454850057	NA	NA	NA	72
C5-G3-T3-TP3	-1	1	0.577350269189626	NA	NA	NA	51
C5-G3-T3-TP6	47.3333333333333	11.3724814061547	6.5659052011974	NA	NA	NA	54
C5-G3-T4-TP0	0	0	0	NA	NA	NA	48.1
C5-G3-T4-TP12	319.333333333333	33.8575447032612	19.5476625485277	NA	NA	NA	60
C5-G3-T4-TP24	260.333333333333	23.5442845152137	13.5932990027358	NA	NA	NA	72
C5-G3-T4-TP3	6	10.4403065089106	6.02771377334171	NA	NA	NA	51
C5-G3-T4-TP6	122	158.559137232769	91.5441605638139	NA	NA	NA	54
