	Row.names	Clostridium	Lactobacillus	Enterococcus	Escherichia	Klebsiella	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time	CI_rel	Lac_rel	EF_rel	EC_rel	KP_rel	log_CI_rel	log_Lac_rel	log_EF_rel	log_EC_rel	log_KP_rel
1	C1-G1-NA-TP0-R1	0.23247453565009	0.261833433193529	0.110245656081486	0.127621330137807	0.267825044937088	C1-G1-NA-TP0	R1	53	0	3	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0
2	C1-G1-NA-TP0-R2	0.0963855421686747	0.0120481927710843	0.313253012048193	0.313253012048193	0.265060240963855	C1-G1-NA-TP0	R2	54	0	4	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0
3	C1-G1-NA-TP0-R3	0.0559380378657487	0.153184165232358	0.464716006884682	0.234939759036145	0.0912220309810671	C1-G1-NA-TP0	R3	53	0	3	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0
10	C1-G1-NA-TP3-R1	0.155101197852127	0.0693928128872367	0.0227178851714168	0.247211895910781	0.505576208178439	C1-G1-NA-TP3	R1	151	98	101	NA	NA	NA	NA	3	15.1999173895085	6.80049566294919	2.22635274679884	24.2267657992565	49.546468401487	2.78500614281228	2.0541872782085	1.17135231867224	3.22790556574234	3.92289307955385
11	C1-G1-NA-TP3-R2	0.0469255663430421	0.00161812297734628	0.028856526429342	0.4638619201726	0.45873786407767	C1-G1-NA-TP3	R2	202	148	152	NA	NA	NA	NA	3	6.94498381877023	0.239482200647249	4.27076591154261	68.6515641855448	67.8932038834951	2.07254076333088	0.214693712282901	1.66217568625183	4.24350515777041	4.23255753575978
12	C1-G1-NA-TP3-R3	0.0400359424920128	0.0141773162939297	0.359724440894569	0.36551517571885	0.220547124600639	C1-G1-NA-TP3	R3	193	140	143	NA	NA	NA	NA	3	5.60503194888179	1.98482428115016	50.3614217252396	51.172124600639	30.8765974440895	1.8878317750378	1.09354087782544	3.93888734056477	3.95454834077167	3.46187211811583
13	C1-G1-NA-TP6-R1	0.1307599252172	0.03904102056527	0.157813702848345	0.264709116903112	0.407676234466073	C1-G1-NA-TP6	R1	427	374	377	NA	NA	NA	NA	6	48.9042120312328	14.601341691411	59.022324865281	99.001209721764	152.470911690311	3.91010540863874	2.74735691641688	4.09471657410512	4.60518228313256	5.03351104868093
14	C1-G1-NA-TP6-R2	0.0678106264213355	0.00134380814554476	0.199297084970023	0.377093239611329	0.354455240851768	C1-G1-NA-TP6	R2	439	385	389	NA	NA	NA	NA	6	26.1070911722142	0.517366136034732	76.7293777134588	145.180897250362	136.465267727931	3.29979536052822	0.416976026574305	4.35323327746531	4.98484487701645	4.92337128685597
15	C1-G1-NA-TP6-R3	0.0400048126090357	0.00914395716777958	0.514287433074656	0.251158034049209	0.18540576309932	C1-G1-NA-TP6	R3	424	371	374	NA	NA	NA	NA	6	14.8417854779522	3.39240810924623	190.800637670697	93.1796306322565	68.7855381098478	2.7626510996016	1.47987762093911	5.25645648710855	4.54520392287372	4.2454267978981
4	C1-G1-NA-TP12-R1	0.179086169886538	0.0226924256363079	0.230604109168967	0.168889911070224	0.398727384237964	C1-G1-NA-TP12	R1	523	470	473	NA	NA	NA	NA	12	84.1704998466728	10.6654400490647	108.383931309414	79.3782582030052	187.401870591843	4.44465512794724	2.45663062864225	4.69486399903004	4.38674371925411	5.23857729092441
5	C1-G1-NA-TP12-R2	0.0477687749425565	0.0012093360744951	0.303180553875922	0.333534889345749	0.314306445761277	C1-G1-NA-TP12	R2	473	419	423	NA	NA	NA	NA	12	20.0151167009312	0.506711815213448	127.032652074011	139.751118635869	131.694400773975	3.04524202166227	0.409929670576697	4.8522853257168	4.94699321466757	4.88804874582831
6	C1-G1-NA-TP12-R3	0.0464946800757907	0.0128261186415974	0.525287858912695	0.253461594519749	0.161929747850168	C1-G1-NA-TP12	R3	464	411	414	NA	NA	NA	NA	12	19.10931351115	5.27153476169655	215.893310013118	104.172715347617	66.5531263664189	3.00118306651119	1.83602110327143	5.37940557371085	4.65560390685051	4.2129143455916
7	C1-G1-NA-TP24-R1	0.0803686240891556	0.00889412773253322	0.178954136305186	0.180132876125161	0.551650235747964	C1-G1-NA-TP24	R1	524	471	474	NA	NA	NA	NA	24	37.8536219459923	4.18913416202315	84.2873981997428	84.8425846549507	259.827261037291	3.65980130145118	1.64656685513388	4.44602670852796	4.45251520801535	5.56385835310699
8	C1-G1-NA-TP24-R2	0.0225196556458409	0.000212269157291446	0.126195051449335	0.384533742631811	0.466539281115722	C1-G1-NA-TP24	R2	414	360	364	NA	NA	NA	NA	24	8.10707603250271	0.0764168966249204	45.4302185217605	138.432147347452	167.95414120166	2.20905169734876	0.0736378370949779	3.83795050849847	4.93757808398809	5.12962732426363
