	Row.names	Clostridium	Lactobacillus	Enterococcus	Escherichia	Klebsiella	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time	CI_rel	Lac_rel	EF_rel	EC_rel	KP_rel	log_CI_rel	log_Lac_rel	log_EF_rel	log_EC_rel	log_KP_rel
336	C3-G3-T4-TP6-R1	0.000112082	0.000112082	0.457072405	0	0.54270343	C3-G3-T4-TP6	R1	444	389	394	NA	NA	NA	NA	54	0.04360009	0.04360009	177.8011657	0	211.1116342	0.04267636	0.04267636	5.186274382	0	5.357112712
337	C3-G3-T4-TP6-R2	6.03E-05	6.03E-05	0.999819223	0	6.03E-05	C3-G3-T4-TP6	R2	381	333	331	NA	NA	NA	NA	54	0.020066285	0.020066285	332.9398011	0	0.020066285	0.019867611	0.019867611	5.810960741	0	0.019867611
338	C3-G3-T4-TP6-R3		6.43E-05	0.548870476	0	0.45100084	C3-G3-T4-TP6	R3	322	272	272	NA	NA	NA	NA	54		0.017500965	149.2927695	0	122.6722286		0.017349587	5.012585188	0	4.817634748
330	C3-G3-T4-TP12-R1	6.38E-05	6.38E-05	0.466428404	0	0.53344398	C3-G3-T4-TP12	R1	523	468	473	NA	NA	NA	NA	60	0.029862175	0.029862175	218.2884932	0	249.6517825	0.029424982	0.029424982	5.390388183	0	5.524064655
331	C3-G3-T4-TP12-R2	9.24E-05	9.24E-05	0.339674917	0	0.660140377	C3-G3-T4-TP12	R2	427	379	377	NA	NA	NA	NA	60	0.035001847	0.035001847	128.7367935	0	250.1932028	0.034403211	0.034403211	4.865507733	0	5.526222375
332	C3-G3-T4-TP12-R3		5.85E-05	0.490433325	0	0.509449648	C3-G3-T4-TP12	R3	392	342	342	NA	NA	NA	NA	60		0.020011703	167.728197	0	174.2317796		0.019814101	5.128289119	0	5.166109552
333	C3-G3-T4-TP24-R1	0.004195624	0.000130327	0.355579144	0	0.640094905	C3-G3-T4-TP24	R1	446	391	396	NA	NA	NA	NA	72	1.640489031	0.050957904	139.0314453	0	250.2771077	0.970964139	0.049702038	4.941867007	0	5.526556345
334	C3-G3-T4-TP24-R2	0.00011426	0.00011426	0.325868373	0	0.673903108	C3-G3-T4-TP24	R2	344	296	294	NA	NA	NA	NA	72	0.033820841	0.033820841	96.45703839	0	199.4753199	0.033261493	0.033261493	4.579411649	0	5.300691147
335	C3-G3-T4-TP24-R3		4.25E-05	0.416174819	0	0.583740169	C3-G3-T4-TP24	R3	369	319	319	NA	NA	NA	NA	72		0.013559466	132.7597673	0	186.2131138		0.013468359	4.896045409	0	5.232247614
339	C4-G1-NA-TP0-R1	0.297610427	0.336712527	0.110789283	0.254887762	0	C4-G1-NA-TP0	R1	56	0	6	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0
340	C4-G1-NA-TP0-R2	0.217208814	0.00524659	0.499475341	0.278069255	0	C4-G1-NA-TP0	R2	53	0	3	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0
341	C4-G1-NA-TP0-R3	0.08181027	0.153176675	0.509138381	0.255874674	0	C4-G1-NA-TP0	R3	52	0	2	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0
348	C4-G1-NA-TP3-R1	0.231963018	0.087171867	0.03830279	0.642562325	0	C4-G1-NA-TP3	R1	82	26	32	NA	NA	NA	NA	3	6.031038468	2.266468549	0.995872544	16.70662044	0	1.950334414	1.183709447	0.69108132	2.873938606	0
349	C4-G1-NA-TP3-R2	0.078006088	0.001331811	0.063926941	0.85673516	0	C4-G1-NA-TP3	R2	147	94	97	NA	NA	NA	NA	3	7.332572298	0.125190259	6.00913242	80.53310502	0	2.120172208	0.11795214	1.94721393	4.401009134	0
350	C4-G1-NA-TP3-R3	0.043979058	0.014659686	0.362478185	0.578883072	0	C4-G1-NA-TP3	R3	148	96	98	NA	NA	NA	NA	3	4.221989529	1.407329843	34.79790576	55.57277487	0	1.652878465	0.878518184	3.577889393	4.03552786	0
351	C4-G1-NA-TP6-R1	0.150941986	0.057565789	0.146755383	0.644736842	0	C4-G1-NA-TP6	R1	304	248	254	NA	NA	NA	NA	6	37.43361244	14.27631579	36.39533493	159.8947368	0	3.648932401	2.726303641	3.621545962	5.080750343	0
352	C4-G1-NA-TP6-R2	0.061384967	0.000760971	0.235309039	0.702545024	0	C4-G1-NA-TP6	R2	445	392	395	NA	NA	NA	NA	6	24.06290691	0.298300499	92.24114315	275.3976494	0	3.221388941	0.261056101	4.535189074	5.621840588	0
353	C4-G1-NA-TP6-R3	0.041078786	0.012860532	0.526282932	0.41977775	0	C4-G1-NA-TP6	R3	435	383	385	NA	NA	NA	NA	6	15.73317518	4.925583718	201.5663628	160.7748783	0	2.817393286	1.7792792	5.311067551	5.086205728	0
342	C4-G1-NA-TP12-R1	0.254240773	0.032075666	0.224426853	0.489256708	0	C4-G1-NA-TP12	R1	538	482	488	NA	NA	NA	NA	12	122.5440526	15.46047085	108.1737432	235.8217333	0	4.816597794	2.800961801	4.692940587	5.467307678	0
